#Load Traffic-Mode Burst-Size Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.950 3            32         0.999979        2565.69         11875       4726        5330        6390        4973907581    4949298864    182015        0             8916733594687 7877779064767 8011004502    4107286319    534030777     167577002     63971454      29580094      14796119      7501953       3843064       2010786       1080471       596960        342848        201973        125936        84228         66323         66122         83250         114310        164269        234171        325857        441693        580787        744633        923540        1115856       1305624       1495239       1661218       1806761       1912597       1982984       2021618       2024841       2003145       1968378       1913334       1847695       1771286       1686911       1592591       1482258       1360093       1223113       1076562       927041        775396        629177        494244        372799        265104        178269        112365        65878         34647         16157         6396          2292          632           118           22            1             0             
0.950 0            64         0.999799        24493.4         228704      52830       63806       86270       3427642758    3365238165    264507        0             2970756689899 2386593916528 1804054088    3066969768    45959993      31677273      25409184      21282954      18294890      16018343      14230882      12800183      11625515      10638201      9807906       9084992       8483255       7934854       7459997       7033086       6651518       6296879       5987667       5702105       5435222       5187645       4959070       4741399       4529251       4334875       4140725       3954661       3780951       3606369       3414976       3237098       3053670       2869186       2678205       2489171       2290809       2092094       1891144       1690514       1493211       1295263       1112690       935764        769690        620650        488752        373126        275565        198789        137202        89876         56350         33513         18800         9590          4445          1944          756           227           63            12            0             
0.950 1            64         0.999986        1786.59         96206       3890        6726        16254       5398740818    5376934692    183961        0             2460198391699 2282348493013 1492343970    4764567916    350063639     124484344     56328051      27109823      13625130      7114616       3832431       2091305       1165054       664887        393617        248656        177676        152409        159623        198217        278944        414793        620749        910460        1281371       1715788       2183989       2643584       3060789       3384371       3596422       3665959       3605648       3412903       3116264       2752026       2343983       1929430       1537418       1180324       879657        633330        439753        294073        190533        119934        73126         43368         25064         14230         7377          4045          1884          1005          480           186           97            41            18            7             1             0             0             0             0             0             0             
0.950 2            64         0.999851        18544.8         243937      54814       68158       93694       4066033913    4015043270    138006        0             4224124910409 3609167692534 1269205066    3715268420    53082698      31949646      25182435      21158042      18234767      16007655      14249834      12808604      11646785      10675494      9836065       9123433       8503686       7949560       7470392       7039435       6648379       6295273       5971804       5664866       5378484       5109048       4854979       4600191       4346210       4103135       3864834       3613004       3362542       3113109       2850366       2590562       2324205       2059317       1799893       1544754       1308416       1081946       877700        693242        535841        402880        292017        203071        139198        90326         56374         33358         18952         9831          4914          2381          984           390           139           38            8             1             0             0             0             0             0             
0.950 3            64         0.99996         4906.1          23912       9046        10214       12270       5000909614    4976607211    138251        0             170505396140501508870843102011763506903   4133946322    537741095     167012954     63095204      29033436      14443808      7309437       3717035       1938908       1032619       566496        327995        191306        120140        81404         64534         67640         82169         115335        167253        236619        326642        441800        580533        742510        920557        1108910       1297789       1477515       1638206       1770930       1877306       1946691       1987192       1990108       1970140       1938278       1884287       1818342       1747385       1665409       1570749       1466791       1343001       1208508       1068718       923336        773370        625455        487210        363310        259038        172593        108168        62224         32073         14213         5895          2067          517           128           10            1             0             
0.950 0            128        0.999615        46885.7         433586      101566      122878      166526      3519446398    3458428913    172114        0             5696418135876 4615301445922 2137286835    3165242719    45050128      30836947      24720969      20783153      17911547      15719364      14000780      12599637      11465452      10529859      9734813       9012724       8422397       7898211       7411157       7012985       6622694       6275911       5973387       5687901       5418311       5173227       4946486       4724695       4522851       4320893       4124959       3942550       3756439       3572702       3381251       3191595       3002505       2812917       2605048       2413312       2205988       1999623       1794990       1588825       1385058       1196098       1011746       836031        683270        541822        415513        313159        227925        157861        107286        69059         42064         23966         12881         6175          2816          1202          414           120           25            5             0             
0.950 1            128        0.999972        3503.67         201923      7614        13166       31966       5445034648    5423625233    133032        0             4828584779073 4486333509806 2113773755    4818165932    348274599     122735456     55186605      26376044      13216040      6888369       3681798       2006997       1116960       632904        376783        238097        170824        147489        155518        195336        273622        410780        614885        897795        1265280       1696378       2173378       2627716       3033453       3361457       3555034       3614356       3543493       3337784       3043220       2677546       2274331       1858222       1482452       1137985       841001        603377        416852        275845        180258        112833        68922         40873         22932         12926         7176          3424          1745          942           390           148           57            13            11            4             1             0             0             0             0             0             0             
0.950 2            128        0.999711        35248.8         459548      104702      130686      180350      4138970041    4089016865    95312         0             8046622654350 6912131768928 1607363376    3793041128    52633401      31351809      24646849      20779904      17947339      15792244      14074946      12695620      11570582      10608482      9783856       9079437       8474931       7934836       7445076       7033075       6633791       6266645       5950023       5654652       5362193       5078478       4828266       4569691       4319233       4059571       3810340       3558665       3296922       3028911       2764103       2491556       2218453       1953914       1694131       1442551       1204256       985619        787826        611740        467984        342424        245433        168537        112395        70874         43714         25767         13789         7147          3917          1808          751           311           99            30            16            0             0             0             0             0             0             
0.950 3            128        0.999929        9367.23         43320       17278       19534       23502       5017444526    4993228874    113407        272113        325663936905702884484903783418665241914   4154956245    536755533     165717753     62229943      28361090      14135807      7126159       3634962       1878331       1000151       558129        323948        191440        119984        82529         66002         67988         87044         120235        169991        246046        339878        457863        601596        761639        943334        1128197       1316857       1495662       1663487       1793657       1897519       1962352       1987440       1989152       1967073       1927249       1877568       1806859       1731203       1647550       1556438       1447609       1322334       1188662       1049212       902293        757212        612112        481535        358748        252212        169390        105679        61332         32404         13975         5653          1774          437           68            2             0             0             
0.950 0            256        0.999238        91260.4         875925      198526      240766      326910      3573418771    3513195180    126635        0             110974247706129034425436580 2939965091    3223187969    44365141      30337113      24353741      20473494      17671541      15535210      13847026      12510209      11386931      10452856      9641533       8987664       8379294       7874995       7401110       6977746       6600929       6254697       5973431       5680244       5412845       5177275       4944262       4723628       4503867       4309907       4116164       3936750       3739784       3546229       3360364       3172547       2971408       2775061       2576538       2359869       2158314       1947947       1732252       1526999       1322587       1137914       952982        777653        631829        495109        374922        278906        200845        138418        90483         58372         35097         20248         9943          5105          2295          864           210           61            43            1             0             
0.950 1            256        0.999951        6950.31         333128      15110       26110       63422       5465085133    5443833825    100181        0             9573600662132 8900225060403 3164783973    4842411567    346771486     121546862     54674129      26065402      13117263      6808215       3636208       1978219       1086207       614987        364013        229619        167826        146315        157148        190998        272308        408027        617102        901095        1269544       1699007       2167992       2619530       3029688       3332011       3533198       3582519       3513513       3315049       3020267       2648185       2239595       1842386       1450884       1115766       826878        593889        411629        272068        177915        109354        63435         38605         21803         12376         6163          3272          1724          928           554           292           85            33            0             0             0             0             0             0             0             0             0             
0.950 2            256        0.999437        68607.1         944680      204670      255998      354302      4178996977    4129614128    71545         0             15681584750262135082551316332267303041    3835789912    52345854      31031483      24392545      20614273      17778575      15656948      13996977      12627700      11493485      10553384      9741177       9039023       8452845       7900406       7437655       7005155       6619594       6259486       5947992       5634034       5350345       5070824       4807573       4542125       4301226       4035226       3791771       3521268       3259042       2986912       2721631       2439612       2169831       1902384       1636778       1378126       1138167       934921        741815        573355        430434        316135        224920        153548        101201        63790         39111         22373         12642         6486          2821          1294          484           229           58            14            2             0             0             0             0             0             0             
0.950 3            256        0.999851        17778.8         79040       32766       37182       44990       5012954330    4988076817    639601        24804667      6186820197149254596163402698205350677884  4161991695    528401913     163215579     61445550      28218584      13994023      7068199       3593528       1879340       1012298       566736        322257        191820        116523        81446         62917         65116         82297         121199        173507        246793        349793        474045        620846        788693        981561        1166387       1339496       1512412       1655389       1761714       1850465       1912340       1951103       1958828       1937659       1916136       1871842       1800085       1710780       1659353       1594521       1507830       1399696       1262777       1105187       939504        766850        639186        517148        402595        293583        200835        127896        69764         31626         15780         6846          2142          248           69            0             0             0             
0.950 0            512        0.998514        179760          1721698     392446      476158      646654      3605955027    3546233763    98944         2210          21861126756146178438162174934420528579    3257997416    44104961      30032349      24094635      20310254      17555920      15419432      13762410      12440152      11329267      10425279      9624659       8940486       8372712       7827149       7382075       6983381       6610061       6262516       5940200       5673797       5391942       5171041       4933547       4711790       4515319       4290096       4113153       3922343       3728010       3526268       3344513       3159108       2946238       2754427       2531157       2332933       2119231       1904062       1699169       1493854       1284445       1097614       916308        757326        602962        472662        356671        265695        190332        126475        85603         53611         32412         18335         9581          4648          1991          750           239           55            0             0             0             
0.950 1            512        0.999884        13812           704923      29998       51870       126206      5474908461    5453757590    100680        740171        19031140587982176973574143366360664657    4853979916    346627961     120875046     54395208      25975169      12920398      6710029       3579547       1951369       1088642       632934        366579        231888        165317        146344        159189        195236        274536        405012        603912        883522        1253444       1679056       2144227       2609589       3002560       3319180       3524145       3576087       3513444       3303290       3000005       2635331       2240991       1833122       1453458       1116554       825768        590263        404842        274284        176271        110590        67224         38864         22233         12328         6980          3272          1740          876           395           228           34            9             23            0             0             0             0             0             0             0             0             
0.950 2            512        0.998874        134525          1647294     402430      505086      702974      4207047314    4158046544    61528         633485        30754399617589265358714192873795606619    3865583465    52159345      30792369      24241543      20436849      17735090      15619541      13956448      12594350      11461442      10527517      9720758       9016244       8475646       7882744       7433554       7016455       6619414       6254138       5945872       5631262       5341448       5070659       4786187       4532376       4264623       4011929       3762889       3482195       3209771       2943543       2658347       2394920       2123382       1848258       1579572       1338492       1112965       902631        718009        552292        412365        297924        215402        145305        97566         61373         36177         20433         11647         5595          2876          1402          423           146           83            42            8             13            0             0             0             0             0             
0.950 3            512        0.999722        34909.8         158403      64350       73022       88638       5025811870    5001206490    450898        24588454      121475041254356107394385910210277564616421  4172739580    530724115     163664077     61543525      27998415      13871091      7022957       3560749       1858807       1005374       558677        319114        201329        117841        77404         59776         68270         84157         120061        169028        245600        347120        470965        615332        790035        980649        1166644       1353807       1528419       1666309       1767915       1847692       1906986       1932959       1950474       1922955       1892363       1862277       1798076       1731437       1670167       1595554       1493736       1374619       1227823       1082864       916298        741891        609542        494621        379625        269353        181975        113379        64323         30361         14208         6382          2309          289           190           0             0             0             
