#Load Traffic-Mode Burst-Size Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.950 3            32         0.999979        2416.64         12233       4442        5030        6070        4958308156    4932690287    1377757       0             8414089443799 7395911341067 60132200864   4110675392    519216360     163752959     63087487      29293092      14612389      7412980       3801834       1998777       1082906       613094        352702        222800        132316        88320         69815         68964         84210         117472        168182        241797        341606        467370        616301        796700        991474        1192012       1377255       1560379       1705527       1822972       1913255       1966854       1990280       1993149       1965791       1941023       1891488       1821453       1743001       1691795       1634559       1556931       1450143       1312873       1148226       971179        794486        672434        557895        442297        333516        237329        151890        85588         40135         20725         9851          3519          837           193           17            0             0             
0.950 0            64         0.999805        23850.7         212954      51326       62014       83838       3360807600    3296737764    1482421       0             2903919472677 2314517170692 8316383774    2999070164    45693093      31525864      25284974      21189335      18205377      15929904      14162179      12735120      11581384      10600840      9781350       9328810       8449092       7922012       7438816       7013477       6634004       6384217       5984442       5701940       5489062       5245931       4973777       4795732       4587446       4387866       4179525       4021069       3827273       3650970       3476349       3304147       3124633       2953085       2764278       2575361       2382871       2183521       1981104       1783633       1581150       1376503       1186710       1004559       829749        671065        530409        408251        304186        217598        151507        100459        63271         37769         21034         10925         5045          2213          836           272           58            4             0             
0.950 1            64         0.999986        1785.99         93200       3886        6726        16230       5356304986    5333230014    1198739       0             2460168008985 2272620949673 8594866132    4727667135    345180118     123130443     55753770      26776441      13491389      7069426       3799226       2076988       1161453       660599        395719        281629        185026        160305        168367        208975        288022        431041        628247        914662        1318173       1775902       2231153       2768977       3244556       3585446       3708662       3793172       3682752       3460812       3161534       2782741       2387004       2003620       1603586       1269308       966521        707154        485027        335836        227146        148868        93117         57778         34505         19758         10414         5995          3289          1719          851           388           145           74            18            4             0             0             0             0             0             0             0             
0.950 2            64         0.999851        18258.6         238818      53950       67134       92350       4022165066    3970107859    818465        0             4165738799610 3544611324618 6240960665    3670804197    52766908      31779470      25050962      21066572      18168207      15944280      14184255      12774349      11611633      10643095      9817832       9324326       8501254       7937395       7462915       7032925       6644070       6357006       5976682       5672244       5427627       5163574       4879652       4648464       4410104       4172412       3919702       3681794       3433762       3182445       2922852       2663417       2399786       2134048       1875005       1617202       1369995       1140038       929543        740801        571664        430950        315655        222392        150719        98891         62260         37655         20895         11185         5618          2612          1026          462           190           64            21            6             0             1             0             0             0             
0.950 3            64         0.99996         4604            22273       8470        9598        11598       4986549678    4961261930    1098967       0             160305445158121411590493811091862214055   4138203504    523408749     163328316     62136524      28622084      14260667      7202736       3662722       1926585       1041249       579938        336667        210772        125516        83606         67128         67246         83686         117557        169523        244335        344491        469075        617169        793107        981114        1176082       1359696       1533814       1680405       1800330       1880026       1930378       1960760       1967920       1941894       1917049       1870935       1804818       1723846       1681499       1623200       1539266       1427449       1292231       1131589       957621        779444        661878        545466        431358        325284        227561        145206        80276         36608         19054         8892          3072          589           112           4             0             0             
0.950 0            128        0.999629        45723.5         400534      99134       119998      162942      3461077370    3398454474    1161113       0             5574264762394 4484837952365 11999661400   3106033595    44759609      30666081      24631534      20674009      17804952      15632338      13941358      12542462      11421233      10474621      9669025       9329052       8391920       7854849       7395866       6979612       6602876       6378647       5964127       5679814       5490847       5235281       4953463       4787947       4569875       4376445       4167452       4002155       3801297       3619500       3441491       3258200       3071241       2892947       2687575       2494919       2286057       2084268       1873564       1667630       1461173       1265728       1071009       894001        728794        576277        446327        337180        244972        172748        116464        74286         46234         25812         14014         7285          3312          1445          446           106           23            0             0             
0.950 1            128        0.999971        3499.78         184233      7610        13158       31870       5401354477    5378614735    979653        0             4823749377498 4461878322703 13718971072   4780351016    343077186     121138941     54612948      26128764      13134698      6834386       3658170       1992846       1120440       631704        375896        268139        175446        152164        162945        203277        283560        427076        624702        912413        1323568       1784743       2224182       2767529       3230809       3559184       3657627       3762626       3624383       3395031       3098496       2720254       2324277       1950347       1535787       1213607       920085        668987        453668        315190        212178        138412        86581         52433         30823         17226         9515          5196          2619          1277          629           255           131           62            13            24            5             1             0             0             0             0             0             
0.950 2            128        0.999718        34739.9         468097      103230      128958      178430      4098369851    4047339648    668757        0             7944436222643 6797321496859 9460660589    3751967858    52352982      31158038      24541773      20685195      17874754      15698732      14008558      12646471      11507500      10569814      9753996       9320700       8458113       7914240       7433598       7019046       6624676       6339591       5950032       5654348       5405779       5145717       4854316       4624627       4375724       4132150       3871400       3623432       3355959       3107731       2833052       2560596       2291991       2021806       1761174       1503248       1265546       1039055       835184        654067        500006        368816        266379        182411        122452        79293         48395         28247         15417         8506          4139          1923          813           304           126           50            5             0             0             0             0             0             0             
0.950 3            128        0.999922        8949.9          41901       16494       18718       22654       5005422959    4980437414    867588        0             3115520599992727481104448336140662994790  4156394909    525981849     163299164     61639719      28188685      13977795      7079190       3606645       1872213       1002590       563923        327269        202422        119510        82158         66044         67545         85239         122346        171855        245492        344464        470208        612337        788285        975213        1166077       1344555       1524678       1673041       1794028       1880687       1938743       1966188       1962840       1934861       1911483       1864286       1803850       1717788       1669985       1605931       1514081       1396159       1261938       1105714       932214        768052        648109        530714        417062        308999        216460        136706        75956         34712         18068         8250          2938          593           109           34            1             0             
0.950 0            256        0.999276        89154.7         937444      193918      235134      319486      3519048572    3457257744    999257        0             108771695400608796796852721 19690427969   3167953152    44218204      30173870      24250351      20390166      17554563      15448763      13767085      12423753      11306055      10393445      9609893       9312876       8351068       7837208       7377665       6966071       6597906       6383340       5957974       5674188       5486705       5231253       4940076       4771018       4570876       4363560       4143691       3992176       3780564       3596794       3412614       3227766       3029319       2846066       2642675       2450205       2231772       2021108       1816015       1606429       1388401       1195416       1011928       829518        666110        530163        404906        301319        217395        151178        100708        62444         38441         21233         11534         5488          2408          1221          391           73            19            0             0             
0.950 1            256        0.999945        6971.32         383944      15158       26222       63582       5419944124    5397335327    833618        0             9610031370528 8892991466371 23300591980   4803377366    341322202     120151704     53964337      25820956      12907080      6741062       3605162       1965356       1098760       624561        373755        261350        174626        150582        160682        204258        283598        428278        620254        907612        1316934       1779548       2207065       2759651       3225266       3548309       3633885       3743179       3596372       3382441       3077538       2702965       2303903       1926429       1519780       1206132       913977        662727        448729        312419        206928        129427        81911         50490         29341         17098         8673          4821          2567          1153          472           216           102           70            63            2             0             0             0             0             0             0             0             
0.950 2            256        0.999441        67604.8         876682      201598      252414      350206      4143733764    4093309217    585947        0             154710854758391327853428815415921587346   3800183536    52156494      30815684      24283540      20423797      17705000      15591306      13912437      12556980      11440920      10523465      9701132       9310269       8448321       7885114       7427960       6990450       6631875       6347136       5949789       5643825       5395934       5127776       4834126       4615893       4352912       4096816       3817999       3572270       3313719       3050197       2778818       2501966       2227501       1952432       1692391       1438328       1197561       979140        777882        603945        458908        336361        240948        166566        109504        70347         42921         25062         13470         7151          3308          1582          694           212           69            22            0             0             3             0             0             0             0             
0.950 3            256        0.999857        17665.7         90721       32558       36958       44798       5010921336    4986013015    645375        0             6149130991187754275621133174204335553181  4162245952    526574320     163000191     61249295      28000222      13925394      7025328       3591422       1886850       1007352       555361        327936        196739        119093        81054         67013         68946         87427         122083        176116        251531        355666        480325        628542        808305        999808        1190984       1378850       1563813       1708433       1823964       1898139       1941566       1959495       1962632       1929434       1907054       1860677       1794775       1705654       1653097       1588731       1500388       1379415       1242309       1080597       925836        763934        642573        525381        408272        296234        201365        124419        68438         33316         17608         7642          2849          864           306           21            0             0             
0.950 0            512        0.998558        175260          1427609     381950      462590      628734      3555119167    3493890764    906137        0             213833223414521734943798072834549319361   3206180273    43959855      30035563      24010178      20234385      17444912      15340406      13686966      12357978      11273143      10336826      9596607       9288798       8344376       7800208       7353670       6950506       6577084       6361527       5956320       5654824       5464003       5231903       4946811       4776419       4562417       4355720       4143152       3979369       3763574       3576483       3396759       3197078       3008597       2823393       2607349       2415292       2186758       1981356       1766302       1556319       1349058       1160186       968354        795160        638269        496988        380439        285995        201596        139561        91989         56612         34502         19120         9736          4501          2397          729           371           112           33            0             0             
0.950 1            512        0.999894        13855.6         739013      30094       52030       126974      5434738530    5412299190    718904        0             190987193522561768497970011039563257643   4820500130    340775398     119643102     53601982      25534327      12805378      6653803       3550684       1934974       1052909       611782        358111        257303        172473        147410        162658        200113        280977        420058        610437        909391        1312979       1774516       2202392       2752016       3209170       3543201       3632365       3734321       3583597       3378083       3064761       2697810       2291482       1910628       1499933       1177273       888237        644760        434024        299800        201812        130598        78665         49671         27636         16498         8704          5240          2456          1366          669           281           139           47            0             0             0             0             0             0             0             0             0             
0.950 2            512        0.998906        132774          1598396     396798      497662      690174      4170785309    4120786017    527534        0             304133613610332615129974535927908519731   3828987147    52000386      30654188      24099496      20303997      17569911      15547998      13853281      12515480      11390644      10495137      9678031       9260862       8407236       7899817       7414684       6976201       6618592       6337129       5934234       5631376       5377396       5109982       4843476       4599632       4342017       4083942       3809109       3545211       3289835       3031495       2753024       2461703       2192257       1909548       1642947       1399958       1157958       950237        746630        577488        435389        317315        230142        153316        102522        64290         37685         22401         11250         5602          3342          1570          398           369           20            8             17            1             0             0             0             0             0             
0.950 3            512        0.999709        34410.2         163506      63518       72190       87678       5025863476    5001226907    458862        0             119767919675672105879152479553277776232270  4176444178    528396498     163016294     61069384      27775423      13811952      6895357       3482505       1865650       1016780       556431        318238        198816        125476        84616         70207         70636         86414         125414        174641        248636        342312        475578        623076        799364        995142        1191867       1369158       1544815       1684574       1809025       1905960       1949161       1965813       1951763       1902812       1897288       1861498       1808649       1726869       1673288       1588667       1465996       1337617       1196624       1056835       908705        748239        623331        506188        394433        285335        188635        123166        69145         32331         16811         6682          2481          517           124           56            0             0             
