#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.900 2            0.999993        919.614         7739        2602        2990        3680        1885412918    1810713393    5260764       0             180614686877  121545160442  4140219156    1443638338    64113243      42123866      31245797      24756750      20539017      17571362      15373275      13646907      12288511      11169735      10243476      9456508       8775635       8193703       7679502       7225470       6825706       6465257       6141276       5850228       5589000       5341625       5123217       4913357       4724915       4545172       4392287       4236181       4098033       3963712       3838209       3724728       3614875       3512518       3412875       3316830       3235730       3150619       3070881       2995758       2918334       2846398       2772494       2692743       2610290       2511588       2399748       2257627       2090761       1887960       1651995       1385000       1103525       831642        577359        368950        210417        106117        45133         15722         4233          725           73            
0.900 3            1               36.3616         239         73          85          106         4273044877    4243615848    2229628       0             118034444105  101860386308  1177448243    3221503962    568419045     232845796     106304606     49432639      23209088      11190782      5593971       2916453       1582712       891963        522117        313095        192541        120714        76949         50214         35123         27673         28152         36860         56616         91780         148500        235975        358297        524634        745238        1016850       1337350       1694705       2071885       2449550       2797039       3085635       3295152       3407127       3405400       3298925       3102904       2830207       2504233       2147759       1793114       1451076       1139339       867316        638925        452537        310476        204019        127765        75984         42714         22577         10970         4863          1998          707           223           49            9             0             0             
0.800 0            0.999992        1004.08         7018        2104        2438        3070        614683678     526713777     7625458       0             85254368999   48779363453   3096268856    156538109     60082839      40887384      30720717      24580106      20481306      17554231      15359844      13647474      12294791      11172659      10235538      9453466       8782036       8196175       7678483       7229408       6823697       6469030       6143832       5854885       5582365       5339317       5120654       4913409       4726563       4549072       4385271       4236810       4097132       3964223       3841534       3725040       3617822       3514929       3411934       3319690       3233768       3150764       3069631       2995358       2927754       2859107       2789935       2729268       2669738       2616654       2562321       2506848       2455474       2409479       2362931       2315473       2273402       2235565       2197278       2156125       2119237       2082342       2048245       2011859       1968630       1872485       1532232       
0.800 1            1               11.1107         1543        20          40          141         2873109248    2825966135    2059917       0             15103372815   11807441028   107356613     1888345838    404565765     199187027     113083785     68216863      42516062      27227745      17734965      11683546      7774030       5206627       3515089       2397414       1663781       1190278       903630        756168        717777        760737        861723        985051        1100323       1182464       1227004       1240803       1247423       1281926       1378487       1564879       1849125       2233816       2690656       3194066       3691167       4140004       4491571       4702569       4760585       4649332       4394720       4014923       3558321       3065916       2576433       2123876       1726008       1389171       1111757       885020        693823        534476        397214        281202        189439        117882        67850         35326         16206         6522          2284          633           127           18            0             
0.800 2            0.999997        404.652         4828        1264        1513        1967        1699260843    1621429886    7339068       0             63980318480   42038576658   2072402758    1259108120    61157933      40530650      30694658      24590313      20487376      17556711      15366904      13662530      12289599      11171062      10240777      9452065       8775967       8186152       7679558       7224746       6831005       6467681       6145342       5849455       5586831       5345144       5124308       4911007       4729600       4552813       4390514       4236881       4097913       3963694       3842573       3721719       3613477       3509723       3411306       3319350       3234292       3149830       3071519       2995448       2926439       2856613       2786654       2720229       2654851       2582059       2507379       2413605       2306574       2165537       1993940       1781436       1531345       1250160       959794        679487        435993        246440        119941        47826         14554         3098          343           
0.800 3            1               4.68112         104         11          15          24          4210219742    4179950805    429993        0             17323514247   14863296409   28197995      3045709647    677559581     256623725     102865649     43172627      18906634      8690788       4208498       2150323       1155359       647882        376051        221712        134185        81375         49959         30881         19475         12907         9844          10324         14897         26484         48262         88105         153649        257184        411636        630535        928250        1301785       1750446       2252522       2775015       3272245       3688949       3976493       4100296       4035006       3785054       3390431       2893690       2345150       1808737       1323509       915694        598781        368847        215375        117245        59766         28161         12551         4822          1876          620           174           60            11            3             0             0             0             0             
0.700 0            0.999994        735.373         5556        1597        1863        2382        644662348     556685011     8076995       0             49783439500   28487303832   1897414630    187967665     59258051      40749366      30701101      24573552      20481799      17554368      15366695      13648978      12284670      11174022      10242256      9452702       8773133       8193251       7681140       7226401       6830390       6472777       6142384       5848289       5582782       5342302       5121124       4914399       4726750       4551542       4385744       4236812       4094807       3965024       3838595       3725191       3615589       3511409       3412299       3323413       3233481       3146520       3069068       2996586       2922300       2860452       2793550       2731183       2670783       2617625       2559428       2507230       2456238       2406527       2364201       2319937       2278276       2236213       2193159       2155021       2119608       2081282       2045400       2000920       1930079       1747503       1249006       
0.700 1            1               8.63356         1839        12          27          142         2842486487    2792410294    2343204       0             9927010895    7465888547    76289876      1841146235    423314547     204334368     113734292     67526086      41509849      26220653      16853921      10963502      7196260       4756620       3161534       2114709       1434247       991539        717519        562993        504441        527906        615614        745517        885721        1008654       1089329       1115149       1107712       1086446       1094543       1169729       1339397       1622064       2016153       2504815       3040971       3587345       4102134       4510157       4783931       4890086       4812806       4565466       4174545       3689697       3153638       2624768       2135699       1712054       1364543       1088314       870299        693571        542752        412291        297715        201902        126645        72093         36087         16334         6181          1853          476           64            6             
0.700 2            0.999998        238.642         3871        786         980         1348        1562518217    1482673858    6359651       0             29547789896   18907309054   802840675     1118407337    63172825      40338684      30446242      24515287      20471382      17546932      15362153      13653910      12287961      11165058      10244016      9453167       8771688       8189681       7682107       7222658       6824405       6465761       6144431       5850060       5586130       5345392       5120802       4914495       4723044       4553434       4388864       4233541       4097563       3963756       3843650       3724081       3614053       3511648       3410700       3318414       3234311       3149107       3073006       2997085       2923231       2857666       2789249       2726698       2666199       2601907       2535802       2462345       2381519       2279821       2152699       1993181       1792318       1554226       1276527       979845        691978        436639        239856        108606        38561         9350          1173          
0.700 3            1               1.79635         129         5           7           15          4339253717    4307178789    23904         0             8729288005    7324987104    661225        3136987351    747973234     257431930     93422032      35329386      13921081      5760345       2524241       1176030       576760        298574        158916        87268         48363         27221         15420         8802          4967          2899          1860          1346          1566          2611          5787          12305         25456         50392         95064         170356        290548        468699        724880        1067996       1496989       2001341       2545956       3077948       3538568       3869574       4009419       3947193       3685360       3249887       2710376       2135156       1578865       1098778       715463        436209        246505        128596        63012         27725         11184         4135          1289          369           98            30            6             0             0             0             0             
