#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.900 2            0.999992        969.097         8820        2758        3196        3980        1895760603    1821254381    20129444      0             188493115615  127862835949  14543626019   1452571794    65482980      42341629      31292030      24767501      20544751      17573788      15370416      13657048      12292605      11170153      10236375      9451565       8772901       8187585       7684653       7227771       6823246       6462357       6147585       5853119       5585452       5341383       5118795       4915772       4728349       4552491       4387856       4238403       4095582       3966231       3837436       3723656       3614148       3511774       3414554       3320149       3230544       3151478       3069542       2992689       2917717       2844370       2773799       2689879       2601189       2507871       2387514       2244586       2075682       1866686       1625514       1358029       1081363       805860        557275        352797        200957        99869         42280         14665         3790          698           77            
0.900 3            1               33.5717         243         67          79          102         4313124179    4283175617    17108031      0             110657544927  96441202042   7815919049    3311773896    534532037     223675121     101674665     47006954      22180912      10862555      5557658       2975519       1663400       967535        581087        356473        224563        142844        93300         63129         46317         40182         44908         61652         94267         147572        228899        341775        492684        689829        925825        1203896       1512543       1841634       2166486       2465753       2725010       2919800       3041101       3085156       3047623       2934855       2772816       2568214       2332045       2077830       1817326       1562082       1313132       1079603       866656        680412        517729        381610        274204        188921        124891        79088         47112         26810         13905         6425          2645          963           274           62            9             
0.800 0            0.99999         1208.15         9839        2490        2874        3612        614480373     526488309     37672384      0             101304608013  59363801062   16274582859   155883104     60528011      40900704      30721203      24573112      20482523      17554214      15363026      13659587      12287555      11169217      10242028      9448043       8774852       8191329       7678661       7228981       6825188       6469626       6142828       5852583       5583846       5340941       5122313       4918027       4727556       4552663       4386292       4238949       4095722       3964598       3838811       3724792       3613508       3510360       3415526       3320521       3233210       3150126       3072431       2996105       2926943       2855189       2793281       2733895       2669362       2615624       2556502       2508237       2458114       2408865       2364153       2321171       2274584       2235154       2193475       2156303       2118002       2082260       2046173       2012843       1968902       1877843       1520826       
0.800 1            1               17.7011         1797        38          72          201         2923389418    2878404789    37665306      0             20318330386   17347692376   2338971568    1933052597    404240474     200924800     114835275     69637546      43593232      28010920      18284757      12065184      8029236       5382962       3630112       2462582       1695058       1192223       881189        704922        636527        647463        713450        806221        902702        981110        1037006       1081643       1132936       1223980       1375029       1616513       1949706       2370120       2856536       3366122       3857053       4285133       4595957       4767193       4766908       4603779       4297840       3877963       3393775       2877198       2381593       1929642       1539733       1212517       954312        747518        581364        444959        332087        238680        161926        103190        60520         32762         15636         6696          2420          732           168           30            1             
0.800 2            0.999996        509.276         6598        1596        1938        2564        1725244119    1647850843    39652304      0             78378405383   52888620127   12121125958   1283309445    63096836      40867986      30745787      24595882      20486347      17565160      15359260      13650885      12287521      11171744      10234241      9452087       8774387       8193233       7680834       7232282       6828673       6473284       6143036       5849283       5582710       5342526       5121839       4916766       4728852       4551006       4388596       4238288       4093662       3963634       3842239       3723845       3611230       3508745       3413050       3318875       3231999       3155160       3071798       2997641       2922117       2855384       2784867       2718123       2650469       2578835       2494514       2395355       2277292       2132193       1948344       1726205       1469926       1188152       897711        625776        395549        220060        105841        41487         12512         2487          266           
0.800 3            1               8.23398         255         19          25          38          4253091943    4222181468    27710530      0             25980730836   23407994148   2183324277    3145764660    631594760     247657336     101021880     42712344      18815141      8687574       4219166       2159054       1157063       646925        375299        221196        133087        81923         50378         31292         20263         13973         11819         14086         22046         38252         67228         117676        193954        310958        474700        695272        980383        1326693       1719134       2152147       2581478       2981417       3310759       3531969       3634850       3599498       3442538       3173246       2829141       2440239       2038414       1645441       1290749       976716        714460        505845        344975        227821        144427        87281         50196         27410         14216         6767          2798          1093          412           97            22            5             1             
0.700 0            0.999992        949.994         8307        2058        2408        3090        643588689     555613348     46028110      0             62705371273   37325296414   12153643211   185856830     60198789      40835108      30716755      24578983      20478111      17546424      15363707      13652237      12286331      11171722      10236340      9451743       8781523       8193168       7682894       7228097       6823866       6466430       6138531       5850241       5590652       5340012       5119857       4921010       4725608       4551176       4388698       4240410       4094071       3964695       3841679       3722633       3613250       3511052       3414511       3321609       3229368       3149114       3072901       2995721       2928660       2857147       2793600       2732035       2671186       2610893       2559665       2507762       2457020       2407812       2363424       2320573       2277253       2233291       2195189       2156952       2118428       2082928       2042627       2004867       1931044       1755739       1234737       
0.700 1            1               15.0557         1891        31          65          202         2894865763    2846897734    42838484      0             13602248865   11649402729   1643839989    1890610394    421651543     205469676     115230931     68791697      42459663      26877560      17294367      11241614      7371208       4855716       3217586       2143050       1440529       982873        695792        528213        454200        455878        515417        613909        728577        832501        906869        949757        971484        993996        1058736       1197659       1427277       1767162       2205239       2718644       3272779       3816218       4300533       4675201       4884638       4921242       4775409       4462117       4019678       3497473       2942428       2406070       1919216       1510763       1179974       923293        725593        570604        442829        335295        242293        165541        104594        59738         30651         14146         5512          1727          409           77            5             
0.700 2            0.999997        364.385         6103        1205        1523        2120        1608074862    1528946478    51939802      0             42759472799   28955445824   8503802339    1162048801    65415712      40802760      30538537      24526299      20468149      17558303      15367414      13649438      12280853      11170461      10238823      9455292       8778836       8191013       7680474       7227914       6826854       6470320       6140587       5850366       5582682       5337393       5117293       4913799       4725129       4550617       4389470       4240438       4096708       3963600       3842598       3721518       3614418       3509149       3409505       3320523       3231648       3152792       3072949       2998176       2925248       2852200       2790251       2724974       2660506       2597382       2525580       2445289       2352459       2238175       2096053       1919880       1701332       1448443       1162628       874142        599760        367347        194209        84959         28888         6769          777           
0.700 3            1               4.84952         398         12          17          30          4320492796    4287799483    30514389      0             14184234880   12888855716   1121020444    3161963829    701516081     253799626     95122948      36897230      14912386      6306042       2806218       1319894       654269        338653        181577        100659        56395         32112         18354         10438         6120          3688          2432          2007          2708          4939          9875          20066         38404         70645         125889        213483        345930        537778        799727        1137622       1547319       2006273       2492393       2959968       3359914       3643367       3770722       3739325       3536339       3200264       2766020       2283126       1795537       1351165       970579        663887        434361        271268        160857        90481         48044         24359         11486         4777          2035          678           178           43            7             0             0             
