#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.900 2            0.999992        968.611         8487        2756        3194        3978        1876774987    1803006337    19874676      0             186520258309  126516254020  14350031769   1438058584    64806535      41911926      30980435      24516517      20335360      17397150      15208042      13523930      12169119      11054837      10141314      9355929       8686768       8105986       7602406       7150723       6754034       6403620       6083287       5791496       5532614       5291249       5069602       4864277       4678200       4506550       4344679       4198553       4054142       3923869       3801406       3684777       3577809       3473026       3377421       3285878       3202072       3120707       3038889       2962884       2889576       2818511       2744627       2664423       2577927       2480659       2367945       2223406       2055827       1846016       1608778       1343589       1068872       797331        552277        350497        198296        99020         41829         14279         3924          711           65            
0.900 3            1               33.5268         255         67          79          102         4268203374    4238585087    16782982      0             109326397011  95258398798   7676625552    3275553885    529897005     221718916     100817642     46616741      22001238      10775223      5512641       2952625       1650439       958694        574437        353046        223122        141410        91744         62085         45484         39468         43632         60072         92174         143880        222950        334495        483742        676648        914180        1190922       1499103       1821199       2147108       2450340       2707064       2902107       3023124       3065852       3027509       2923877       2760929       2549160       2309499       2058831       1797813       1541687       1293388       1060793       849369        662784        501391        370643        263392        181344        119524        75095         44749         24990         12716         5957          2425          780           232           51            9             
0.800 0            0.99999         1204.92         8500        2484        2868        3604        608333677     521236125     37218847      0             100015186015  58614002419   16032965095   154298497     59916436      40501197      30414202      24324808      20277366      17378953      15206816      13517223      12173737      11068793      10136670      9361032       8690579       8114650       7603743       7159596       6754227       6402993       6085742       5791242       5530997       5291817       5069001       4870555       4678779       4509168       4347045       4191581       4052498       3925412       3801810       3684937       3575936       3475808       3380731       3287204       3201520       3120201       3041422       2966457       2896605       2827191       2766848       2702691       2643193       2586114       2534472       2483890       2431248       2384083       2340384       2292569       2251014       2212391       2171567       2135807       2095794       2060293       2029334       1991354       1950433       1859115       1505906       
0.800 1            1               17.5998         1774        38          72          200         2893520788    2848955631    37367189      0             20025245517   17096343671   2311212310    1913298152    400178350     198848761     113655255     68913389      43113233      27707048      18092699      11939157      7950691       5319682       3586665       2435303       1675863       1178850       870165        698013        629560        642593        708184        802587        895519        972674        1030118       1072408       1123044       1211018       1363091       1597829       1927602       2342545       2824542       3332263       3817121       4239154       4552375       4717745       4718610       4558374       4257605       3842248       3361839       2852452       2363495       1913733       1525670       1206049       948435        742883        577215        441865        330052        236189        160114        102309        60298         32559         15712         6578          2337          746           148           22            3             
0.800 2            0.999996        507.904         6830        1592        1932        2556        1707646168    1631027491    39229304      0             77389688860   52216317325   11963614337   1270184698    62445517      40446814      30427915      24352216      20280798      17383150      15202045      13514062      12158100      11058689      10137987      9360184       8689454       8109751       7606142       7157003       6754815       6396914       6081353       5793395       5530098       5287492       5068706       4868196       4676735       4503756       4344262       4194407       4052455       3922200       3802131       3687481       3578273       3475396       3377567       3287669       3202652       3119505       3042674       2965375       2898242       2823755       2759519       2694396       2625076       2553253       2468446       2373669       2254628       2112567       1927889       1712539       1456950       1175625       889315        620353        392454        218883        104513        40782         12493         2535          254           
0.800 3            1               8.11906         259         19          25          37          4210899227    4180351216    27413565      0             25406137823   22887861757   2142366371    3113129158    626296301     245525243     100140536     42324043      18646836      8609035       4182931       2139010       1146382       641644        369884        218592        132481        80817         49459         30918         19645         13616         11654         13707         21391         37129         66642         114963        191975        305816        468748        687676        970632        1312135       1705736       2132777       2561433       2957407       3282497       3506666       3607001       3573241       3410899       3143783       2801319       2412802       2011551       1617628       1263621       952676        696420        490989        333147        219991        137568        83436         47978         26164         13258         6172          2585          1015          350           96            19            3             0             
0.700 0            0.999992        946.941         7979        2052        2400        3080        637160604     550057484     45529144      0             61867639084   36820918325   11982364363   184013878     59585315      40432596      30401040      24335054      20275389      17379239      15203705      13520851      12166412      11064206      10137251      9352351       8692941       8112786       7600966       7155235       6756328       6405332       6078338       5792496       5526696       5293911       5071571       4866785       4675374       4506663       4346747       4195350       4053074       3922779       3799337       3683793       3576154       3471392       3377848       3286748       3202336       3120825       3038662       2966033       2896852       2828127       2766720       2704833       2644221       2587493       2534265       2483759       2431714       2383493       2339481       2296801       2256061       2213997       2173100       2134529       2097812       2062577       2026798       1983901       1914586       1736115       1219582       
0.700 1            1               14.9469         1968        31          64          201         2865401946    2817890006    42490776      0             13392782988   11470776205   1621682388    1871386038    417417312     203342092     114024488     68072954      41995632      26594484      17118545      11128113      7294464       4809391       3184360       2119449       1426584       975447        689480        523988        450109        452138        512623        612122        725920        827436        904073        944980        963085        988404        1049476       1184790       1414871       1746601       2179334       2691734       3235341       3772748       4256125       4623147       4834769       4866741       4725291       4419475       3982466       3462135       2913923       2383242       1903177       1497481       1173709       917104        720763        566542        441742        333694        241238        164858        103903        59424         30798         13930         5460          1710          417           64            12            
0.700 2            0.999997        362.568         6093        1199        1515        2108        1591458550    1513119624    51443406      0             42115942924   28519543325   8381188357    1149907605    64733279      40398875      30234391      24291660      20262478      17374498      15199754      13517232      12164542      11054811      10136571      9355291       8686255       8115336       7601160       7157294       6760152       6397954       6086099       5795642       5527045       5289504       5067894       4866461       4681524       4504845       4343257       4195699       4054821       3922613       3800035       3685330       3578627       3475754       3380760       3286594       3199072       3118053       3042771       2964735       2896465       2827346       2766958       2698308       2634527       2565975       2499666       2419862       2329377       2215279       2075873       1902105       1684523       1434690       1156026       865556        594236        363134        191392        84517         28927         6728          807           
0.700 3            1               4.76577         400         12          17          29          4279005377    4246681674    30194812      0             13860304917   12594129585   1098960400    3131223987    695297267     251393543     94180876      36537818      14742707      6223511       2775516       1302691       645918        334396        179234        99000         55406         31455         18169         10379         6127          3579          2333          1955          2633          4755          9690          19240         37852         69794         123751        210301        342625        529532        789063        1123682       1527216       1987914       2465345       2933252       3326368       3609607       3739541       3699838       3501021       3164215       2731858       2255300       1774227       1333442       955062        652265        425014        263956        155628        87614         46717         23042         11033         4529          1753          593           205           29            8             0             0             
