#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  overtices-woE avertices-woE wrong-v-woE   ts-ao-woE     ts-all-woE    ts-nonouro-E  ts-all-E      bsit-mp-E     noncyc-woE    noncyc-W      CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         CSE-1         CSE-2         CSE-3         CSE-4         CSE-5         CSE-6         CSE-7         CSE-8         CSE-9         CSE-10        CSE-11        CSE-12        CSE-13        CSE-14        CSE-15        CSE-16        CSE-17        CSE-18        CSE-19        CSE-20        CSE-21        CSE-22        CSE-23        CSE-24        CSE-25        CSE-26        CSE-27        CSE-28        CSE-29        CSE-30        CSE-31        CSE-32        CSE-33        CSE-34        CSE-35        CSE-36        CSE-37        CSE-38        CSE-39        CSE-40        CSE-41        CSE-42        CSE-43        CSE-44        CSE-45        CSE-46        CSE-47        CSE-48        CSE-49        CSE-50        CSE-51        CSE-52        CSE-53        CSE-54        CSE-55        CSE-56        CSE-57        CSE-58        CSE-59        CSE-60        CSE-61        CSE-62        CSE-63        CSE-64        
0.950 0            0.999981        2271.36         11975       4146        4742        5862        582433407     495322217     21507609      0             256744010487  147277482100  2.37094e+10   4379329253    7785691776    795963639     41585035      121651434     809100        1228566       2364422       0             880658        127433883     60445308      40537397      30410745      24337632      20279486      17386812      15209328      13519312      12163320      11058846      10134733      9356456       8689434       8113562       7603537       7158747       6760620       6406436       6078916       5789683       5529190       5288877       5066143       4870619       4676933       4507232       4346377       4195301       4058326       3924784       3800113       3685882       3577523       3473539       3378462       3291042       3202014       3119349       3039070       2965596       2899337       2830955       2764883       2702020       2643018       2589372       2533387       2480759       2433857       2385904       2339008       2293619       2253620       2210662       2175190       2133205       2096885       2060620       2026633       1996528       1960291       1920581       1832508       1287851       610173        409782        307196        245162        204493        175451        153653        136122        122224        111889        102577        94902         87827         81678         77214         72150         68145         65102         61413         58197         55900         53618         51316         49347         47234         45495         44032         42755         40955         39323         38315         37298         35979         34978         33920         33044         32170         31571         30656         29995         28982         28810         28171         27334         26546         26037         25456         25356         24231         23921         23803         23336         23036         22151         21780         21556         21187         20661         20558         20231         19823         19487         18618         
0.950 1            1               51.3752         1646        112         199         423         3109861160    3072846559    14445851      0             70637284267   60037720832   3.76365e+09   6418059089    7785618816    532683175     84965835      121650294     371619        1229706       1159631       0             374987        2152961062    374632770     193934094     114586599     71019584      45110175      29356159      19373131      12890464      8645167       5824750       3945234       2695204       1858064       1315196       969126        765087        660057        620397        625490        657907        709060        782720        891393        1047491       1265474       1561736       1934581       2376478       2867685       3377944       3858497       4270029       4569800       4729136       4728754       4568884       4269659       3858190       3370706       2855645       2347256       1873516       1453185       1103170       822399        600281        432109        305302        212089        144222        94147         59820         35629         19975         10371         4950          2056          731           295           63            14            1             0             21757133      3785130       1959912       1159705       716266        456251        296200        195376        130502        88121         59225         40306         27295         18824         13274         9789          7772          6644          6298          6438          6580          7287          8070          8957          10607         12865         15931         19362         23909         29080         33660         39370         42873         46257         47800         47569         46732         43216         38900         34016         28834         23689         18812         14913         11068         8397          6110          4292          3057          2129          1438          974           605           359           194           105           49            21            10            3             0             0             0             0             
0.950 2            0.999985        1865.53         12202       4790        5362        6386        1980794360    1909029425    8247443       0             397054342953  271014886542  1.19611e+10   5232770122    7785621440    260094542     52718420      121650335     695991        1229665       1996748       0             724688        1535837171    70057086      43902310      31746445      24827105      20457046      17449557      15243371      13530937      12166729      11060553      10145999      9353589       8690143       8110027       7606898       7159183       6756183       6406881       6082935       5791244       5531353       5289575       5067349       4865721       4678086       4507117       4342573       4193729       4055580       3925881       3802336       3684598       3574156       3477322       3376996       3288253       3201281       3114958       3036806       2957019       2877599       2798888       2714272       2621002       2515208       2390734       2241986       2067932       1858570       1624869       1367304       1098613       834589        591931        389751        232142        125158        58639         23324         7543          1862          337           26            15523108      707110        443046        320813        251143        206695        176391        154254        136838        122897        112117        102472        94478         87993         81804         77423         72478         68479         64650         61273         58766         56424         53085         51535         49162         47124         45640         43733         42454         40997         39649         38392         37101         36028         34854         34026         33303         32352         31387         30766         29705         29062         28148         27594         26458         25604         23942         22707         20848         18992         16482         14095         10886         8585          5937          3909          2373          1273          607           238           86            13            4             0             
0.950 3            0.999999        138.543         617         255         285         335         4365268555    4334004949    7227718       0             484177148608  407797506491  1.76181e+10   6488047537    7785760256    318511443     90388920      121652504     315431        1227496       930845        0             315431        3454118769    496136243     187749464     88226737      44454892      22386220      11324671      5876351       3167773       1779419       1035150       621713        382888        240325        155598        103059        73430         59064         59443         71906         99733         144501        211285        300777        415137        556472        721423        905816        1106943       1312647       1517322       1707444       1882076       2026609       2143574       2227047       2276094       2304389       2308905       2289847       2253884       2200774       2130647       2034313       1916421       1775745       1616893       1436997       1246789       1054506       866795        686551        524234        383176        266496        174637        106537        60045         30846         13801         5289          1661          321           41            34848190      5004277       1895611       890923        448334        226432        114171        59295         32046         17874         10510         6211          3953          2441          1626          1088          748           594           567           709           989           1484          2109          3089          4286          5640          7272          9218          11155         13157         15137         17246         18972         20386         21849         22955         22919         22794         23423         22740         22843         22120         21393         20620         19374         17761         16483         14541         12468         10664         8731          6933          5332          3885          2704          1761          1141          614           300           127           51            18            5             0             
