#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  overtices-woE avertices-woE wrong-v-woE   ts-ao-woE     ts-all-woE    ts-nonouro-E  ts-all-E      bsit-mp-E     noncyc-woE    noncyc-W      CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         CSE-1         CSE-2         CSE-3         CSE-4         CSE-5         CSE-6         CSE-7         CSE-8         CSE-9         CSE-10        CSE-11        CSE-12        CSE-13        CSE-14        CSE-15        CSE-16        CSE-17        CSE-18        CSE-19        CSE-20        CSE-21        CSE-22        CSE-23        CSE-24        CSE-25        CSE-26        CSE-27        CSE-28        CSE-29        CSE-30        CSE-31        CSE-32        CSE-33        CSE-34        CSE-35        CSE-36        CSE-37        CSE-38        CSE-39        CSE-40        CSE-41        CSE-42        CSE-43        CSE-44        CSE-45        CSE-46        CSE-47        CSE-48        CSE-49        CSE-50        CSE-51        CSE-52        CSE-53        CSE-54        CSE-55        CSE-56        CSE-57        CSE-58        CSE-59        CSE-60        CSE-61        CSE-62        CSE-63        CSE-64        
0.950 0            0.999984        2015.05         11038       3794        4422        5538        582282909     495181597     5452898       0             228623502785  130157304994  5.95392e+09   4379527901    7785691776    221905063     41591598      121651434     809331        1228566       2364239       87101312      880558        127401357     60353604      40534778      30403173      24324207      20277338      17386593      15207115      13520254      12163809      11058520      10144973      9353329       8686292       8111795       7600775       7152527       6759772       6403308       6080080       5793890       5526339       5288364       5069189       4867488       4678602       4502984       4345472       4192288       4056693       3926378       3804554       3686510       3576800       3477155       3380578       3289035       3202806       3119785       3043395       2965720       2895399       2828977       2764806       2706100       2642738       2586869       2533971       2484899       2433562       2382329       2338464       2298080       2255258       2210747       2170817       2132355       2096948       2061334       2027192       1994912       1960930       1918327       1840271       1285535       611521        410086        308011        245849        204385        175160        153791        135798        122684        111611        102504        94474         87813         81796         76597         72214         67962         64600         61096         58972         55581         53376         51083         48829         47524         45343         43749         42402         40559         39425         38541         37114         35989         35373         34220         33176         32246         31942         30672         30039         28895         28869         28010         27224         26444         26317         25388         24875         24382         24104         23698         23305         22897         22529         22012         21801         20934         21153         20587         20271         19567         19364         18647         
0.950 1            1               49.19           1517        108         189         401         3107437549    3070016664    1750196       0             68512416757   57561821752   4.85689e+08   6402152718    7785618816    66708833      84571217      121650294     374573        1229706       1169897       37420885      378030        2154147800    374325725     192970847     113772941     70409219      44681516      29052781      19140449      12728474      8520962       5737938       3886367       2648777       1828607       1297037       963275        771595        676162        646935        656836        691109        738648        807145        904280        1047342       1256694       1542878       1908570       2351015       2844921       3355629       3849837       4274075       4586459       4758454       4766433       4620502       4325586       3914423       3431642       2910668       2394005       1913717       1489627       1131901       840082        614198        439433        307637        210573        140049        89610         54284         31256         16741         8124          3593          1430          500           184           40            11            1             0             21781703      3785952       1951721       1150774       710568        451308        293589        193292        128964        86236         57835         39484         26878         18181         13119         9715          7811          6847          6541          6678          7003          7472          8201          9221          10707         12676         15570         19539         23782         29065         33957         38858         43222         46183         47923         48342         46602         44011         39577         34243         29185         24417         19492         14788         11357         8407          6185          4528          3119          2107          1396          928           527           299           164           82            47            13            9             2             0             0             0             0             
0.950 2            0.999984        1925.95         11596       4878        5422        6390        1975062484    1903191724    2683277       0             410739934107  279482176884  4.64949e+09   5226870414    7785621440    96673538      52624897      121650335     697411        1229665       2002842       71870760      726401        1530725472    69366929      43845566      31754713      24822351      20472155      17448366      15232360      13529489      12172418      11062995      10140716      9365336       8686483       8109202       7603295       7156913       6758000       6398786       6079916       5792241       5528773       5284857       5068354       4866393       4678443       4504581       4342058       4194666       4054176       3925343       3800338       3685138       3575247       3478362       3377844       3286749       3201847       3117229       3035247       2957252       2878339       2798972       2714373       2622145       2519090       2398304       2247624       2078175       1871849       1638646       1379924       1112039       845876        605258        399896        240360        128835        61367         24413         8043          1987          346           24            15474769      701403        443032        320869        251038        206890        176363        153676        137250        123495        111631        101994        94983         87563         81773         77238         72009         67929         64489         61172         58806         55760         53373         51035         49321         46900         45509         43952         42531         40944         39855         38193         37186         36328         35337         34216         33202         32237         31441         30736         30060         29048         28308         27564         26520         25620         24338         22793         21062         19094         16594         13852         11184         8381          5943          4067          2482          1299          632           270           80            14            3             0             
0.950 3            0.999999        164.866         666         307         339         394         4356737384    4326008626    890281        0             572310466256  481443180721  2.62168e+09   6507305229    7785760256    38872898      90923764      121652504     309875        1227496       924145        30728758      309875        3398866632    532779411     195377911     90423934      45959900      23234067      11608499      5874386       3060295       1659456       934282        542802        323896        199084        124675        81027         55516         41920         38781         45259         61715         92666         137732        202113        289567        401168        540951        705081        889506        1089784       1302651       1515718       1722143       1914446       2087227       2230937       2344719       2420342       2463251       2471131       2442600       2377494       2283022       2153803       1996355       1815212       1608178       1390469       1170772       957982        754075        569761        411717        282697        183508        110998        61476         31084         13980         5318          1798          428           70            6             34289044      5374038       1972042       914175        463830        234813        117810        59363         31274         16860         9373          5548          3275          1993          1248          810           518           373           400           419           612           893           1391          2120          2977          4029          5394          7111          9022          11101         13172         15146         17421         19404         20953         22600         23751         24353         25172         24837         24749         23999         22898         21695         20056         18368         16258         14038         11929         9585          7480          5654          4109          2798          1773          1120          602           325           137           45            18            3             0             0             
