#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  overtices-woE avertices-woE wrong-v-woE   ts-ao-woE     ts-all-woE    ts-nonouro-E  ts-all-E      bsit-mp-E     noncyc-woE    noncyc-W      CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         CSE-1         CSE-2         CSE-3         CSE-4         CSE-5         CSE-6         CSE-7         CSE-8         CSE-9         CSE-10        CSE-11        CSE-12        CSE-13        CSE-14        CSE-15        CSE-16        CSE-17        CSE-18        CSE-19        CSE-20        CSE-21        CSE-22        CSE-23        CSE-24        CSE-25        CSE-26        CSE-27        CSE-28        CSE-29        CSE-30        CSE-31        CSE-32        CSE-33        CSE-34        CSE-35        CSE-36        CSE-37        CSE-38        CSE-39        CSE-40        CSE-41        CSE-42        CSE-43        CSE-44        CSE-45        CSE-46        CSE-47        CSE-48        CSE-49        CSE-50        CSE-51        CSE-52        CSE-53        CSE-54        CSE-55        CSE-56        CSE-57        CSE-58        CSE-59        CSE-60        CSE-61        CSE-62        CSE-63        CSE-64        
0.950 0            0.999984        1947.56         9960        3660        4254        5318        0             0             0             0             0             0             0             0             0             0             0             0             80865498      122880000     236249719     0             87977424      0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             128655861     60943849      40949446      30717985      24580026      20484131      17553921      15367272      13654263      12284679      11172224      10242178      9451568       8781170       8192966       7683113       7222688       6829236       6465267       6143264       5852849       5588685       5341489       5118549       4917168       4727396       4548646       4389910       4235208       4096054       3965752       3841123       3722379       3613096       3510531       3414800       3320619       3234208       3149655       3071321       2998205       2927070       2859920       2793475       2729088       2671084       2617060       2560120       2505134       2457927       2409792       2364765       2318942       2272038       2232853       2195060       2156856       2116290       2082367       2045747       2014371       1979070       1937678       1861300       
0.950 1            1               48.8502         1816        107         188         398         0             0             0             0             0             0             0             0             0             0             0             0             37439903      122880000     116951234     0             37780822      0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             2176074010    378140780     194944264     114933206     71135757      45136972      29351891      19336264      12858276      8610108       5801144       3925581       2676245       1847060       1309627       972966        776536        680137        649682        659024        691309        743952        810579        909370        1056856       1267327       1557119       1930391       2378351       2875946       3398077       3887769       4321485       4635129       4808494       4818508       4669185       4373170       3959223       3467538       2939761       2415189       1930248       1503211       1139875       846966        616023        440658        310249        211362        140552        89597         54470         31296         16523         8107          3585          1417          482           167           30            9             0             0             
0.950 2            0.999985        1857.49         11566       4718        5258        6210        0             0             0             0             0             0             0             0             0             0             0             0             69703362      122880000     200029518     0             72578349      0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             1547208923    70102513      44274752      32059847      25069730      20667249      17626744      15385928      13662745      12295183      11172540      10237327      9452239       8776615       8188949       7680759       7229109       6827124       6468097       6143268       5853786       5584379       5341811       5118412       4916489       4727161       4551146       4388879       4233948       4093935       3967700       3841420       3721395       3614413       3512413       3411800       3318917       3229451       3147557       3066694       2985952       2908350       2823076       2743650       2649471       2545076       2418633       2273083       2095694       1888697       1653333       1393611       1120701       853416        609936        402384        241646        130363        61552         24535         8202          2020          346           28            
0.950 3            0.999999        160.171         642         298         330         383         0             0             0             0             0             0             0             0             0             0             0             0             31109243      122880000     92678843      0             31109260      0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             3435923692    535733320     197006275     91226611      46267482      23364889      11675935      5910386       3088767       1679268       946721        551152        330193        202852        128142        82651         57039         43389         40172         46950         64254         94698         142242        208057        298436        412524        555277        721411        909857        1111697       1326884       1539757       1749606       1940138       2110325       2252246       2362102       2438116       2478952       2485858       2461048       2398488       2304645       2174276       2017114       1834297       1631025       1415970       1191722       975087        769728        583566        424501        291959        189740        114516        64690         32756         14756         5730          1859          472           63            6             
