#Load Traffic-Mode Burst-Size Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.950 3            32         0.999979        2567.94         12098       4726        5330        6394        4974000434    4949920105    180822        0             8924301073406 7893861838554 8067651127    4107242166    534155615     167570447     63949862      29631034      14825685      7522736       3834076       1996781       1076365       596079        341703        201821        125109        83686         66675         67453         82417         114530        163924        233813        324896        440438        579042        739831        918464        1111148       1304791       1490415       1656581       1797760       1904490       1981403       2014910       2023986       2001697       1961975       1905633       1846141       1772521       1692494       1597592       1484949       1360983       1228306       1084263       931663        779361        630974        496202        372052        264905        180289        113315        65742         34551         15725         6120          2094          635           100           19            1             0             
0.950 0            64         0.999803        24437.7         221556      52670       63614       85950       3428403163    3380535721    179053        0             2964368082867 2462270228245 1412238359    3067764414    45929424      31695267      25394776      21272485      18295549      16021834      14231578      12790257      11627596      10639828      9814856       9099483       8477694       7937204       7461889       7026178       6652761       6303572       5993939       5698858       5438021       5187101       4956696       4739982       4532390       4333235       4147474       3962764       3781967       3600153       3415679       3239712       3053823       2870468       2678810       2480383       2289441       2091888       1889966       1684969       1486613       1297587       1110193       928860        768287        620181        488594        371753        278000        196041        137423        90834         56128         33228         18266         9535          4505          1856          644           225           41            5             0             
0.950 1            64         0.999985        1783.68         142478      3880        6710        16238       5404833335    5384666737    176530        0             2456934177380 2289071529142 1449040752    4769490596    351132263     124776471     56412194      27103713      13639040      7127257       3821355       2091058       1163496       660582        389308        246645        177615        152818        158999        198351        276292        411609        617837        905359        1269767       1701429       2170861       2633555       3051420       3369552       3578192       3646621       3586132       3399660       3096011       2729848       2325728       1917834       1527190       1172880       874325        626665        435164        293184        190079        118768        71737         42026         23897         13274         6923          3878          2091          995           489           206           61            15            12            7             1             0             0             0             0             0             0             
0.950 2            64         0.999848        18512.8         248034      54686       68030       93374       4065718726    4029232307    83543         0             4217642542953 3719944247839 904316368     3714971023    53087802      31913533      25160163      21149719      18250073      16017104      14232343      12834265      11651901      10664412      9842573       9125435       8503659       7961790       7468620       7039093       6648372       6285796       5969527       5664479       5377796       5107605       4845771       4597670       4348869       4105734       3861237       3619200       3366399       3114093       2853448       2597233       2325668       2063577       1801596       1550141       1307925       1083653       877161        691714        533239        400163        290727        203181        136929        89128         55880         33115         18755         10340         5053          2408          1048          380           138           57            11            1             1             0             0             0             0             
0.950 3            64         0.999961        4873.25         21657       8982        10142       12190       5001685134    4977885203    132668        0             169385309585881500768204610911309299594   4136621377    536479969     166675123     62949334      28892477      14400292      7263471       3709160       1918126       1031078       569603        324389        191695        118606        80999         65294         67406         84843         118911        168783        239923        332881        447207        586443        746856        920911        1107590       1298696       1480724       1650129       1790052       1888057       1960168       1994607       2003085       1978809       1941392       1883242       1819229       1749755       1659688       1564590       1461781       1341319       1211189       1071931       917876        771018        622750        486804        365472        260560        172870        108303        63394         32120         14609         5653          1903          506           92            14            0             0             
0.950 0            128        0.999622        46771.2         452437      101310      122494      165886      3521032500    3474492597    111186        0             5682839165596 4758426036383 1614694616    3166963882    44980531      30785856      24738655      20773137      17914410      15715720      13999121      12613348      11467402      10530162      9722213       9015789       8423969       7897608       7422291       7011159       6632614       6275392       5981264       5677381       5419762       5179306       4950320       4723802       4519650       4314709       4131927       3939311       3751692       3569417       3376236       3187197       3003140       2807211       2614021       2405770       2202387       1995045       1791955       1584155       1387135       1195158       1007402       835700        678240        539804        417135        313247        226697        158734        106771        68515         41453         23619         12788         6314          3046          1192          439           138           56            0             0             
0.950 1            128        0.999973        3502.35         179330      7618        13166       31902       5440544875    5420581973    128886        0             4826472984750 4500439764648 2088807984    4814149352    347886799     122564658     55095070      26336715      13229928      6879090       3695538       2011158       1118224       639944        372520        234372        170738        150827        158470        197624        277189        415673        619913        909585        1274476       1700367       2175197       2624126       3037164       3355973       3563658       3631060       3555240       3365591       3064481       2689521       2283218       1876781       1487913       1143736       846610        607366        418653        280167        181466        112671        69070         39120         22839         12437         6306          3364          1559          778           314           171           64            25            5             0             1             0             0             0             0             0             0             
0.950 2            128        0.999714        35239.7         438693      104702      130750      180478      4138806859    4103283707    54128         0             8044737060372 7130482869765 1085817632    3792908175    52624823      31331178      24665443      20767647      17940272      15792482      14085423      12703434      11552797      10579693      9794145       9080539       8474645       7934156       7461639       7011896       6642510       6274482       5947839       5646596       5367372       5086937       4826274       4564728       4317387       4067953       3814892       3553612       3296379       3027545       2761437       2495704       2225489       1951449       1690804       1439168       1203513       980582        788138        615464        469364        345379        245195        169308        112534        72148         44227         25659         14425         7316          3763          1665          766           312           113           38            4             1             1             0             0             0             0             
0.950 3            128        0.999925        9442.46         45574       17406       19678       23726       5016288144    4992608936    117125        399101        328237375356182910555036344419741624925   4152168485    537647170     166294533     62518611      28426272      14082926      7122605       3614226       1866447       1000059       561503        320328        186787        114467        77596         62873         67290         86196         121216        172640        244018        334889        449741        588487        749145        927649        1112775       1300595       1478236       1651534       1786297       1886703       1952710       1980775       1986172       1970351       1935730       1874239       1811810       1732169       1650890       1560575       1461020       1338044       1203939       1055336       905986        755649        609200        477450        357137        250547        168868        107996        63133         33379         14715         5828          1767          360           64            5             1             0             
0.950 0            256        0.999254        91079.3         799524      198142      239998      325374      3574070079    3528269595    78181         0             110769643394549315788686811 2163698209    3223930304    44373010      30314690      24316716      20491689      17660150      15534132      13841605      12490410      11405511      10456587      9658813       8970965       8381260       7848259       7404046       6980925       6605444       6259663       5955256       5671915       5414179       5164963       4944288       4715417       4507799       4312727       4130007       3926429       3732687       3553748       3362256       3169159       2971080       2767729       2568198       2363906       2153090       1946373       1741280       1529322       1327372       1132518       948396        782983        626270        497186        379825        281402        201638        139996        93403         59210         34186         20087         10855         5143          2293          901           297           82            47            2             0             
0.950 1            256        0.999939        7011.47         330719      15270       26414       63902       5448512629    5428464463    96670         0             9643018244314 8988358590202 3126998083    4827544515    345133936     121242693     54465373      25973150      13000516      6786215       3629142       1969952       1099362       619162        363038        234155        169066        144532        153220        194087        274574        409462        618284        903998        1270822       1702613       2178974       2644094       3057504       3387153       3591386       3645840       3562913       3374018       3067325       2695876       2290099       1882562       1490668       1143800       846602        602846        416727        277292        180972        113848        69894         40502         23077         13344         6680          3477          1710          903           472           157           32            10            5             0             0             0             0             0             0             0             0             
0.950 2            256        0.999442        68503           845316      204158      255230      353534      4180059633    4145066783    39408         0             15656704842646139137151859911515559602    3836881542    52339079      31005560      24391027      20590547      17796583      15641381      14000066      12643218      11489044      10556181      9753589       9064119       8446412       7910559       7432696       7021987       6625506       6263876       5940137       5636822       5361526       5073266       4816025       4542580       4298725       4034955       3777394       3526010       3245897       2989649       2709456       2442924       2158471       1895124       1622957       1377942       1142089       930541        737946        574990        431080        315071        222354        153676        101727        63247         38406         21953         12029         6267          3290          1321          536           136           77            26            5             34            0             0             0             0             0             
0.950 3            256        0.999866        17745.3         91619       32686       37054       44798       5013998431    4989689810    629487        24242270      6175809474835254580825712374204725761816  4163094079    528515730     163685375     61370601      28011350      13836427      6966495       3561479       1832264       978635        546833        314432        185292        115137        80075         64905         65116         86603         120397        169617        245030        339447        464506        615729        782296        973857        1163957       1346947       1522169       1667432       1787901       1868915       1928676       1955892       1963395       1931146       1912378       1860726       1805998       1717294       1673662       1597500       1508837       1392250       1256992       1109948       939576        771591        641178        514801        390564        289710        198211        128329        69785         32659         17496         7042          2874          692           187           14            0             0             
0.950 0            512        0.998545        179438          1517152     392190      476158      648190      3605376715    3560024131    59698         1942          21827312404178184012464092883174244091    3257183396    44126934      30138136      24157176      20285930      17552535      15454303      13759231      12432445      11355342      10403626      9637141       8947857       8373235       7847239       7376724       6987320       6610716       6251479       5964550       5673307       5418426       5173981       4931198       4713443       4502321       4297204       4113480       3916064       3725418       3526970       3343939       3139438       2950013       2740178       2542916       2333224       2124772       1912004       1698026       1495149       1294527       1089458       913417        747543        599816        471485        357053        262947        187512        127749        87848         53735         31261         17804         9812          4807          2047          743           280           66            19            0             0             
0.950 1            512        0.99989         13917.3         717708      30270       52414       126846      5462709183    5442747190    107906        1249310       19156982435861178626011122077055290180    4844150994    344676464     120424522     54056488      25751603      12920742      6755117       3567995       1941819       1089847       619435        359903        225307        159703        144794        150426        189797        271231        401742        607267        902351        1270063       1710366       2189221       2645991       3063843       3372758       3562606       3627602       3544962       3344691       3039543       2675520       2267652       1860027       1465692       1129658       833459        597077        414058        276947        179397        111681        68831         38932         22211         12974         7368          4313          2009          1138          689           192           130           26            9             0             0             0             0             0             0             0             0             
0.950 2            512        0.998906        133674          1686393     399870      500734      693758      4210003971    4175399257    31945         264369        30589707292911272341805561462367794874    3868519306    52282943      30832837      24228071      20457768      17708506      15604277      13917749      12591739      11454907      10534939      9735560       9057003       8434034       7911712       7408218       7021902       6612484       6260128       5929619       5613761       5338441       5058598       4796457       4533939       4282911       4007447       3747623       3482897       3210735       2947561       2660203       2395924       2116033       1838674       1591218       1336115       1106035       895072        703013        545896        412121        298312        206769        144152        95219         58424         34628         21096         10812         5751          2470          1018          494           228           86            106           30            0             0             0             0             0             0             
0.950 3            512        0.999707        34720.3         162273      64158       72830       88318       5025405630    5001267709    443565        24116776      120838508445086106902222027329277967788210  4175419083    528684504     163239432     61004720      27946003      13845664      6896323       3520571       1892536       1010775       546771        309447        190519        115699        79745         63070         65664         85934         120230        178637        258545        357256        478655        627351        802366        978114        1166352       1347848       1525328       1654740       1766720       1861082       1923945       1948895       1976886       1938440       1900171       1837512       1784638       1693779       1652047       1579938       1474457       1361709       1219643       1083342       925280        759660        635573        511143        400036        291638        201180        128355        75437         33608         17378         7454          3006          733           53            10            0             0             
