#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  overtices-woE avertices-woE wrong-v-woE   ts-ao-woE     ts-all-woE    ts-nonouro-E  ts-all-E      bsit-mp-E     noncyc-woE    noncyc-W      CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CSE-1         CSE-2         CSE-3         CSE-4         CSE-5         CSE-6         CSE-7         CSE-8         
0.950 0            0.99999         22.2468         214         46          56          79          0             0             0             0             0             0             0             0             0             0             0             0             0             1.92e+06      0             0             0             0             0             0             0             0             0             0             0             1895313       957197        639649        480022        384738        319347        273426        244688        
0.950 1            0.999987        26.3787         291         60          79          115         0             0             0             0             0             0             0             0             0             0             0             0             0             1.92e+06      0             0             0             0             0             0             0             0             0             0             0             4400197       929355        599189        469565        382092        288381        178560        66825         
0.950 2            0.999985        25.8201         270         62          77          107         0             0             0             0             0             0             0             0             0             0             0             0             0             1.92e+06      0             0             0             0             0             0             0             0             0             0             0             4107317       1029381       660682        479989        357124        271361        179867        77383         
0.950 3            0.999966        61.3093         412         151         192         244         0             0             0             0             0             0             0             0             0             0             0             0             0             1.92e+06      0             0             0             0             0             0             0             0             0             0             0             7777101       1147148       384334        227343        179000        160747        126237        60386         
