#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         CS-65         CS-66         CS-67         CS-68         CS-69         CS-70         CS-71         CS-72         CS-73         CS-74         CS-75         CS-76         CS-77         CS-78         CS-79         CS-80         CS-81         CS-82         CS-83         CS-84         CS-85         CS-86         CS-87         CS-88         CS-89         CS-90         CS-91         CS-92         CS-93         CS-94         CS-95         CS-96         CS-97         CS-98         CS-99         CS-100        CS-101        CS-102        CS-103        CS-104        CS-105        CS-106        CS-107        CS-108        CS-109        CS-110        CS-111        CS-112        CS-113        CS-114        CS-115        CS-116        CS-117        CS-118        CS-119        CS-120        CS-121        CS-122        CS-123        CS-124        CS-125        CS-126        CS-127        CS-128        
0.950 0            0.999974        12923.9         58565       22286       25214       30734       2682285654    2114897817    53072177      0             5734556995359 2357267812253 212340899120  526189109     242523435     162167835     121650303     97340954      81112966      69522622      60808681      54076602      48649347      44246185      40547281      37432837      34749832      32426354      30421226      28623708      27030373      25614442      24325605      23171993      22121868      21151736      20271529      19466389      18717142      18022059      17375812      16780309      16222370      15697140      15204945      14743210      14310671      13904327      13516805      13153046      12810026      12473007      12167661      11869739      11586634      11318781      11058153      10813364      10577749      10354649      10133378      9930627       9737864       9539513       9357300       9183934       9007856       8850242       8690848       8534990       8388964       8246884       8111807       7975841       7852866       7720500       7602518       7490154       7377995       7260526       7159097       7057047       6952242       6853850       6760765       6663630       6574297       6491168       6397708       6317752       6238181       6156366       6083043       6007191       5933154       5865277       5793955       5725097       5652325       5589075       5530546       5466969       5406921       5347756       5287942       5230044       5177278       5118364       5069490       5014657       4964040       4912457       4869989       4821733       4765962       4723369       4679956       4633573       4592122       4546805       4506774       4466073       4427958       4385468       4343299       4304663       4268765       4233643       4193491       4158932       4123186       4090927       4053207       4022813       3989451       3957243       3922638       3894269       3858821       3804545       3532877       
0.950 1            1               52.7587         1824        115         203         432         24574696379   24385810353   67910692      0             582313179361  475626122366  33810980931   17217635662   2975730339    1544909623    914171753     567591650     361398866     235912540     156098967     104271468     70135016      47432909      32201177      21930182      14984929      10259548      7050438       4850935       3351391       2319695       1612881       1125917       789232        556774        398122        287328        213375        162075        129073        109964        102194        106013        122165        151840        195442        256419        334382        425373        528386        636320        745475        842704        929255        995367        1034795       1052205       1048527       1031733       1012137       996918        1003317       1042855       1132575       1288369       1520595       1842543       2274029       2811543       3459328       4223759       5093418       6054784       7082832       8143859       9219324       10255471      11201723      12044255      12708707      13179770      13436853      13460100      13254651      12816715      12189123      11388136      10459592      9450779       8399731       7341688       6318776       5359303       4486770       3707527       3030712       2465535       1995262       1615268       1309734       1074305       889331        746092        631205        539214        463808        399431        341107        291035        244072        201102        162767        128659        100013        75472         55604         39922         27297         18310         11960         7285          4380          2515          1397          715           317           155           67            30            13            6             1             1             1             0             0             0             0             0             0             
0.950 2            0.999981        9181.09         58194       23774       26286       30750       13845696898   13353335008   19971094      0             7814982633639 4313768704998 78661473148   11712106961   292790075     177675058     127790687     99732814      82037993      69907519      60983793      54129576      48689293      44249963      40552006      37430101      34765140      32435824      30420354      28617767      27033003      25604989      24327729      23172511      22121088      21158084      20279288      19461015      18714497      18023227      17381099      16783415      16217299      15695299      15207676      14750460      14309372      13903529      13522845      13153815      12809328      12472347      12163974      11868595      11586926      11321005      11053557      10813781      10580106      10350357      10138528      9934171       9731834       9540007       9361237       9179125       9013201       8848815       8693631       8537600       8390288       8251001       8110776       7976496       7846806       7730582       7601116       7487058       7371835       7268963       7156780       7050951       6953696       6849617       6758838       6665950       6573136       6487738       6399871       6320164       6238680       6158635       6081879       6003601       5929289       5862065       5791879       5724892       5651867       5581458       5520034       5456801       5383874       5310171       5234893       5151758       5056818       4954609       4821765       4676891       4505269       4302791       4064482       3788909       3485332       3146232       2784788       2414130       2033619       1668876       1325948       1017888       750888        532067        361068        231403        141461        81641         44066         22076         10232         4314          1785          592           172           48            9             2             0             0             0             
0.950 3            1               144.149         668         260         289         339         34642725139   34493615410   37381254      0             4033910265964 3314038399958 176463882094  27665566300   3826696392    1476759419    708310886     363450029     186587916     96691137      51614933      28705565      16618526      9946090       6126258       3866933       2487717       1622484       1071431       715746        480902        323093        218942        149973        101914        69124         47199         32428         22158         15174         10632         7408          5215          4029          3347          3288          3975          5289          7872          11592         17322         25474         37563         54728         77965         109148        150964        204634        272815        358335        461438        583290        728714        895066        1084065       1294987       1529636       1787449       2058217       2350382       2660105       2970778       3290938       3602682       3909177       4192143       4450724       4681113       4873570       5020457       5121892       5181302       5204686       5175341       5128052       5053321       4964374       4877739       4781170       4697843       4631139       4566853       4525103       4496522       4469303       4446354       4423641       4395970       4349178       4281295       4193063       4068251       3921508       3744694       3535567       3309978       3068641       2806646       2547220       2282088       2027276       1780395       1548676       1333190       1134267       954050        792521        652376        526445        421845        329894        253866        191386        141141        101220        70491         47681         31039         19126         11378         6429          3513          1702          765           338           133           52            14            1             0             0             
