#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          
0.950 0            0.999989        22.2515         219         46          56          79          5145223       5145223       0             0             52618318      52618318      0             1877928       947643        634804        476411        380298        316832        269848        241459        
0.950 1            0.999988        26.518          290         60          79          116         7242287       7242287       0             0             104532697     104532697     0             4359179       919063        593448        464457        376407        285765        177126        66842         
0.950 2            0.999987        25.7531         273         62          77          106         7094330       7094330       0             0             83716095      83716095      0             4066394       1019364       658815        475140        353005        266855        178106        76651         
0.950 3            0.999974        61.0565         407         150         191         243         9967391       9967391       0             0             408383182     408383182     0             7708060       1132491       380494        225636        177870        159174        123542        60124         
