#Load Traffic-Mode Burst-Size Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.950 3            32         0.99998         2417.72         11841       4442        5030        6066        4958274072    4933230127    1338307       0             8417820985618 7409839863670 59276258744   4110298030    519628566     163798418     63036926      29260807      14605541      7406040       3800797       1993089       1085000       609690        350908        208438        129796        88340         69134         68415         85744         117752        168435        241256        341075        466616        616028        796596        989320        1183765       1371581       1552396       1702939       1826160       1920167       1969820       1995108       1999064       1974232       1949063       1902606       1830760       1749565       1702036       1641261       1553281       1441890       1303138       1140852       963118        788958        668926        556454        443041        334179        236279        151576        85557         40280         20827         9761          3636          807           195           34            3             0             
0.950 0            64         0.999806        23831.8         225337      51326       62046       83902       3391172156    3342477379    625566        0             2899684026728 2399227549590 4510662398    3029779428    45893405      31649629      25362885      21223210      18257553      15971388      14210650      12769972      11601398      10618055      9790255       9073266       8460337       7925340       7441402       7021638       6633786       6380140       5989048       5710297       5441798       5242524       4972332       4785634       4577333       4379014       4181542       4009827       3814043       3641056       3462355       3282749       3103423       2923808       2731808       2543931       2345711       2142952       1939999       1734652       1534457       1336263       1144702       962799        796113        640565        503338        384661        284983        203029        140809        92401         57299         34456         19236         9895          4585          2043          705           191           43            7             3             
0.950 1            64         0.999986        1781.23         90607       3874        6702        16198       5359952138    5338530168    1039206       0             2454950113395 2277291973383 7804362106    4731089244    345411488     123229563     55761310      26853190      13530435      7065338       3783143       2071609       1158371       660810        389901        246642        181834        156194        165162        206648        288200        431577        628992        907171        1279499       1749444       2216917       2765735       3240508       3575629       3704889       3785554       3672267       3455386       3149875       2786609       2385815       2006709       1601516       1272255       969710        704424        482429        337343        226882        146394        92454         55192         32520         18388         9681          5418          2889          1545          788           349           179           74            40            10            0             0             0             0             0             0             0             
0.950 2            64         0.999851        18255.7         248138      53982       67134       92350       4044859423    4007917088    272354        0             4164176048274 3666309308569 2761365218    3693801571    52934075      31869230      25112577      21126685      18210612      15983626      14223371      12795283      11621789      10658051      9821664       9120814       8491429       7957754       7473325       7035612       6652768       6354136       5972471       5673221       5394066       5150064       4876227       4636465       4390674       4149167       3899580       3655002       3403210       3151604       2887559       2623602       2359493       2092876       1831802       1578226       1334209       1106958       895723        710436        549031        413788        300497        211433        143456        92279         58108         34299         19686         10650         5049          2383          1101          383           186           56            25            6             0             0             0             0             0             
0.950 3            64         0.999963        4600.9          21918       8462        9590        11598       4987034625    4962306372    1069733       0             160175584905981412474007258790432690212   4139263121    522919545     163272428     62191269      28604380      14186668      7169124       3663993       1920156       1042814       584701        337777        199722        126231        85762         67713         67771         85245         119339        173293        246397        344186        466716        615388        793595        986142        1177676       1359305       1537035       1682855       1803051       1893674       1945171       1969559       1978560       1950304       1926040       1882661       1810493       1727687       1683189       1622074       1541183       1424507       1282630       1116158       944216        769530        659101        542845        430794        321049        225212        145618        80416         36953         19037         8717          3152          593           98            6             0             0             
0.950 0            128        0.999627        45737.2         429236      99134       119998      162558      3488282891    3440944146    461487        0             5572592692294 4649908542982 6211100639    3133535887    44912563      30805854      24722858      20726407      17862858      15666058      13963592      12591822      11448252      10499646      9706133       9004037       8396549       7873937       7399639       6990061       6617873       6377757       5966806       5682543       5431699       5239033       4959385       4782293       4570804       4373127       4161346       3978484       3778995       3606792       3415771       3235139       3050238       2862061       2652345       2463339       2256509       2045979       1837924       1625541       1425291       1222113       1037591       862657        695675        551809        427466        317734        232011        162323        108172        70314         42509         24811         13242         6643          2900          1187          415           78            14            0             0             
0.950 1            128        0.99997         3498.97         226915      7610        13166       31870       5401781121    5380653469    843789        0             4823198233134 4479556431353 12423401543   4780700998    343170792     121161483     54618922      26144530      13124538      6827421       3664547       1994664       1122916       638894        376340        236826        173230        153304        164815        206743        288240        431835        626860        908448        1281978       1750449       2212510       2759334       3231380       3565504       3668974       3766419       3624834       3407130       3096507       2730456       2327278       1949461       1538108       1216251       926003        670227        452424        315517        212125        138269        86164         50937         30294         17356         8735          4952          2668          1289          664           283           207           54            24            8             2             0             0             0             0             0             0             
0.950 2            128        0.999718        34785.5         483450      103422      129278      178686      4121215661    4085280943    208895        0             7950298553078 7036192510911 3982060129    3775085611    52517609      31216550      24619341      20740840      17934197      15760149      14072794      12695930      11540527      10580029      9765102       9071654       8452909       7913716       7454605       7017604       6631917       6345941       5970505       5651316       5376705       5128021       4842184       4606394       4353738       4098100       3845091       3597652       3325721       3065633       2789448       2522123       2257374       1981211       1716423       1466763       1227345       1003554       801076        625025        476333        351480        253190        175217        114512        74333         46140         27178         14437         7495          3939          1765          785           253           120           35            22            0             0             0             0             0             0             
0.950 3            128        0.999928        8967.63         39625       16510       18718       22654       5003553568    4979120830    839803        0             3121905364650427576532289027138199845031  4153898857    526001285     163343135     61794222      28338448      14090703      7106965       3645591       1905694       1024649       574346        334573        197910        122665        83047         66394         69643         86899         123213        175014        248623        348556        470762        618438        793603        981709        1173918       1357183       1534987       1678828       1791816       1883541       1933277       1958318       1969757       1939513       1914845       1866944       1795364       1705950       1653070       1591133       1505207       1399014       1268563       1108487       936734        760917        646063        527118        413044        305552        212210        133516        76236         35039         18870         9128          3476          790           215           1             0             0             
0.950 0            256        0.999268        89288.9         854758      194174      235390      319486      3545081274    3498546858    380325        0             108882618205819129210518952 9875587135    3194294635    44354390      30274102      24346470      20417745      17621150      15512990      13817848      12467892      11359762      10420686      9623875       8965686       8351993       7837175       7372543       6976733       6624175       6372866       5966767       5682736       5424177       5223735       4958127       4770856       4561787       4364044       4146321       3972289       3766974       3571623       3392934       3211582       3009403       2818545       2610306       2412864       2199074       1985252       1767788       1560334       1354084       1165956       969928        804107        646444        507206        387418        285498        206411        139082        91458         59395         34699         19889         10511         4824          2574          1087          305           128           36            0             0             
0.950 1            256        0.999941        6934.05         378493      15070       26094       63230       5425333940    5404421698    723983        0             9554950392619 8880957968204 21094265575   4808663388    341883610     120044210     53921365      25765801      12964228      6732438       3557024       1955196       1074861       617819        365316        235689        167585        151333        160330        201258        282884        430819        622387        908391        1276882       1740305       2188107       2738533       3206185       3543222       3636774       3737312       3608481       3386290       3075423       2711413       2298965       1921225       1517784       1202367       906461        653707        438123        309184        205701        132502        81025         49217         28517         16164         8341          4851          2479          1191          755           249           191           80            2             0             0             0             0             0             0             0             0             
0.950 2            256        0.99944         67506.8         848813      201342      252158      349182      4164664855    4129318455    177781        0             15445733578554137099550056836486000656    3821211283    52307181      31028240      24289135      20488265      17790741      15655832      13966405      12617409      11490615      10530091      9731895       9034699       8446532       7913261       7433719       7007173       6643663       6337443       5953113       5647891       5358256       5114053       4833316       4582162       4333762       4073036       3813343       3548057       3279311       3013303       2745655       2468844       2181869       1914031       1649145       1396466       1161583       944618        747984        583186        440546        319255        228331        155805        101503        65169         40206         22737         12372         6504          3460          1560          539           189           76            12            21            0             4             0             0             0             0             
0.950 3            256        0.999855        17777           78543       32798       37214       45150       5015288549    4991055525    629106        0             6187041278002254704790918021204121674678  4163401916    528916996     163841191     61486945      28146823      13980345      7027287       3582473       1863678       1003077       551302        317442        189320        119256        80538         66749         68880         88437         122635        174500        246345        344356        470480        614037        786147        980231        1176821       1357456       1525357       1665392       1785327       1860390       1907640       1937705       1934693       1911696       1898658       1848962       1787304       1712514       1662487       1582002       1490927       1379326       1244103       1086366       933372        769653        647702        525928        407864        297667        206009        133170        74509         35294         18742         8501          2930          562           131           3             0             0             
0.950 0            512        0.998566        175500          1625536     382974      464638      632318      3580510266    3534487649    334307        0             214067427636801799778385190016771357116   3232004616    44129712      30064709      24128159      20223762      17485664      15374132      13690731      12411001      11295292      10377297      9622928       8943060       8319973       7827285       7364617       6950535       6604046       6357137       5956504       5674364       5412825       5220488       4942754       4760090       4552844       4350720       4120513       3959675       3753070       3573047       3383114       3190087       2988117       2787954       2581055       2378778       2160909       1945112       1722581       1527778       1311110       1127525       937272        769533        609069        475561        362302        268805        189842        131156        87986         55589         32197         17977         9429          4485          2223          789           368           13            0             0             0             
0.950 1            512        0.999891        13776           732343      29870       51678       126334      5447133330    5426462773    619040        0             190105738335521768664425023235840885939   4831426052    342412154     120041850     53645027      25511117      12738404      6604428       3559053       1957389       1053320       605533        357042        236720        166293        150192        161188        207037        283959        427455        619180        906602        1282825       1755440       2188233       2734934       3178349       3507487       3608234       3692338       3555061       3333660       3014025       2654766       2258649       1895846       1486640       1171615       873750        638666        430499        297611        196575        125372        77583         45785         27588         15063         7610          4745          2099          1214          618           247           147           30            31            0             0             0             0             0             0             0             0             
0.950 2            512        0.998905        132735          1986246     397566      498942      693246      4191130295    4156092355    158673        0             303847235658172700864700895111220092146   3849454169    52196169      30807125      24149584      20426360      17602200      15503848      13899945      12545875      11468459      10494235      9678713       9000633       8443939       7911284       7435994       7005540       6622710       6333863       5965638       5631780       5343535       5117973       4827744       4572783       4324740       4045297       3808697       3540689       3253686       2969015       2693163       2423018       2157962       1873861       1614890       1364179       1114483       907792        718491        560816        420639        300219        215484        144747        94582         61943         37864         21138         12089         5887          2616          1477          443           159           90            1             40            0             0             0             0             0             0             
0.950 3            512        0.999727        35245.2         150288      65118       73982       89598       5020819377    4996718592    429412        0             122623326712008108544208018548270630222169  4169528448    528490755     163476737     61609275      28062316      13998863      7076045       3618937       1893856       1008729       572598        320157        181627        116651        84399         68006         69369         89169         124443        179719        256963        354709        482838        633671        813367        1004292       1194367       1376269       1533088       1664504       1779825       1873198       1928929       1964739       1972026       1943157       1912265       1855611       1781861       1710973       1659572       1570323       1460573       1351138       1227424       1074423       911832        752082        628795        500127        379167        269676        187502        117395        66953         33644         13476         6472          1756          273           23            0             0             0             
