#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         CS-65         CS-66         CS-67         CS-68         CS-69         CS-70         CS-71         CS-72         CS-73         CS-74         CS-75         CS-76         CS-77         CS-78         CS-79         CS-80         CS-81         CS-82         CS-83         CS-84         CS-85         CS-86         CS-87         CS-88         CS-89         CS-90         CS-91         CS-92         CS-93         CS-94         CS-95         CS-96         CS-97         CS-98         CS-99         CS-100        CS-101        CS-102        CS-103        CS-104        CS-105        CS-106        CS-107        CS-108        CS-109        CS-110        CS-111        CS-112        CS-113        CS-114        CS-115        CS-116        CS-117        CS-118        CS-119        CS-120        CS-121        CS-122        CS-123        CS-124        CS-125        CS-126        CS-127        CS-128        
0.800 0            0.999986        6694.21         39068       12670       14302       17422       2850896542    2242416447    140956983     0             2134318337532 839965034218  237510882694  696212711     242475456     162107707     121664635     97331915      81097187      69515323      60833986      54068622      48659174      44243697      40554494      37424184      34742797      32442993      30411150      28625898      27043101      25605752      24326541      23177888      22119688      21165617      20272569      19466144      18711785      18026514      17388296      16779651      16216488      15696952      15203440      14745612      14314830      13904157      13514503      13153948      12805710      12470335      12166170      11866528      11583960      11310237      11063106      10814847      10580571      10349014      10136768      9930289       9733235       9542519       9360693       9181793       9013665       8848346       8691676       8535392       8387457       8250648       8111690       7971755       7850864       7720293       7603920       7484038       7375120       7264561       7154145       7053869       6949463       6852944       6755898       6664629       6578528       6491214       6403554       6319028       6238543       6162467       6080609       6004201       5933840       5865041       5796571       5727635       5660735       5592411       5528745       5469275       5406225       5352453       5289107       5233620       5173881       5121830       5069925       5017792       4962685       4916446       4866117       4817542       4766112       4724348       4678969       4633652       4591866       4548079       4507272       4466959       4422744       4381338       4343636       4305737       4267092       4229891       4197129       4156206       4124305       4089876       4056128       4020003       3990238       3954318       3921866       3879301       3801348       3526125       2550431       
0.800 1            1               20.3535         2096        44          83          223         22800896961   22570205985   191426783     0             178917275361  146064953217  25268325298   15270938919   3169777481    1585226947    909251862     552972351     347298758     224000067     146874763     97408661      65151230      43869062      29699212      20182145      13778266      9443518       6496813       4486847       3108959       2162744       1511094       1060985       748471        533228        382193        280322        210506        165737        137551        121802        114969        114811        121028        135840        161240        203218        269800        365892        499970        671933        883918        1124877       1387584       1650336       1894529       2103258       2252754       2331447       2338241       2276737       2150546       1990038       1801872       1622448       1467895       1364561       1328141       1372190       1515779       1772006       2140501       2635683       3249404       3987893       4836520       5783554       6800635       7862156       8938245       9969309       10932675      11766542      12441726      12920203      13180296      13195635      12978095      12539313      11892331      11081890      10139442      9118069       8062618       7017386       6014795       5091826       4266598       3552214       2955669       2475675       2102476       1821929       1613427       1464518       1359387       1273491       1201970       1127829       1054198       967031        870725        766888        659096        549283        448146        351649        269702        199552        142948        97537         64512         40926         24303         14469         7976          4041          2084          931           429           162           65            27            4             0             0             0             0             0             0             
0.800 2            0.999994        2727.58         28758       8286        9694        12238       11506405379   10951397601   160783124     0             1600081179766 816466686021  190910624840  9398345502    266881082     164796517     122053708     97414833      81126023      69514815      60820389      54049700      48657549      44237401      40548638      37423732      34751796      32439392      30409781      28621096      27028108      25610796      24328373      23171639      22110163      21157045      20276946      19465707      18722579      18027818      17376170      16784085      16218129      15688733      15202742      14746094      14314264      13909896      13511123      13157998      12804900      12476074      12164775      11871296      11587954      11314799      11058337      10814784      10582074      10350532      10140330      9930823       9723506       9536217       9357598       9183104       9012547       8850466       8683586       8532134       8386112       8243323       8111440       7980591       7846774       7722523       7603558       7483423       7369696       7266780       7154197       7051080       6952781       6853145       6759962       6672042       6579849       6495137       6397238       6319537       6237745       6160621       6080713       6008149       5934956       5860341       5792877       5725102       5657955       5593199       5531780       5464673       5403882       5348353       5284461       5228288       5169916       5116947       5053383       4992350       4921779       4850778       4764016       4661579       4537774       4391442       4213966       3997473       3738736       3438979       3093998       2721210       2325838       1926772       1536726       1175213       858290        593918        388012        236631        134661        70722         33559         14335         5387          1842          534           102           26            4             0             
0.800 3            1               9.56616         482         22          28          43          33442509010   33295048348   132141773     0             231422800985  204430966105  22831091021   24839468672   4948765718    1976944996    820597025     352873375     158218931     74412369      36834582      19202938      10514069      6002200       3544464       2151668       1330521       831225        524707        333770        213103        136907        87922         56277         36305         23262         14986         9810          6216          4111          2680          1670          1107          723           457           321           172           145           116           136           158           287           488           892           1551          2605          4351          7174          11261         17549         26886         40781         60085         86893         124825        175771        244954        336038        456691        612961        811790        1065369       1380731       1758444       2214211       2739402       3340878       4006851       4726767       5478450       6237897       6979444       7672273       8282411       8780320       9134947       9343139       9392619       9284458       9028209       8636734       8134159       7565889       6931621       6279149       5628238       4989937       4393743       3834543       3320782       2854929       2439691       2060858       1731613       1437387       1182677       956646        767138        603306        467609        356836        266521        197091        142087        101205        70897         48676         32620         21890         14073         8951          5441          3298          1985          1078          564           361           176           91            28            18            2             3             1             1             0             0             0             0             0             0             
