#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          
0.800 0            0.999996        10.0657         165         25          34          52          5189177       5189177       0             0             24423520      24423520      0             1933882       942824        633167        474997        380691        317448        270146        236022        
0.800 1            0.999997        6.54395         188         17          26          46          7006399       7006399       0             0             26956940      26956940      0             4045994       975251        589274        453588        376090        294933        192150        79119         
0.800 2            0.999997        7.11557         168         20          29          47          6868722       6868722       0             0             25042121      25042121      0             3855243       968688        638701        473944        364432        281751        196636        89327         
0.800 3            0.999998        3.171           104         9           14          23          9905371       9905371       0             0             25087740      25087740      0             7316745       1433610       466907        233488        185882        150812        89088         28839         
