#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         
0.800 0            0.999992        243.195         2305        544         652         862         127658554     112241019     9788798       0             5509480199    4010686504    879840596     35068229      14917576      10127688      7604578       6082150       5069816       4345156       3796793       3380636       3043161       2763954       2532524       2338829       2174054       2026543       1902207       1786703       1689791       1600401       1520614       1447477       1382578       1323226       1265699       1216122       1169785       1126298       1086525       1048865       1012164       967487        840925        
0.800 1            1               16.077          1337        34          67          189         372717040     363861991     7363995       0             2322158122    2053273756    209971816     241249056     50628905      24819112      14070084      8472016       5286783       3414205       2295319       1637332       1271738       1085108       1013148       1028993       1114069       1257467       1429897       1597120       1712488       1741584       1672949       1508566       1281203       1022477       770729        546188        362383        221529        121534        57018         21417         5815          808           
0.800 2            0.999996        113.858         1931        357         459         653         265650927     251873161     9535634       0             4638396642    3621110490    660890692     177654663     15274459      10048973      7614967       6091804       5071260       4343705       3800944       3378793       3040639       2761712       2536990       2339227       2172560       2025288       1899826       1789161       1690152       1597443       1513648       1436811       1356578       1275918       1176986       1055942       906204        723781        523117        324150        159429        55605         10192         
0.800 3            1               6.3464          151         15          21          32          545053712     539744161     4755745       0             2609068023    2420758478    160803924     400843133     81966151      30574522      11823398      4747382       1993516       885987        421380        223115        141554        128817        168169        260076        406253        597685        818848        1034637       1208866       1304443       1295906       1184498       996334        768192        540773        346796        199767        103009        46192         17619         5391          1181          122           
