#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         
0.800 0            0.999994        179.176         1670        414         499         668         127835835     112417600     1325243       0             4266076248    2962276705    104966329     35317009      14850360      10120863      7603193       6086455       5068193       4343315       3800972       3381337       3042110       2766555       2535617       2338985       2172124       2027190       1900413       1788374       1689938       1601652       1521888       1447576       1380509       1321012       1267916       1216164       1169742       1126947       1083612       1049093       1012279       963749        840693        
0.800 1            1               10.9459         1209        22          44          145         367989412     358894448     371138        0             1824772620    1507540993    9377637       236584922     50682158      24707997      13953124      8383991       5224452       3376067       2281768       1645276       1295855       1118016       1048264       1051676       1122004       1249281       1411745       1574665       1693831       1731239       1677783       1527134       1310230       1064132       813749        587042        394988        245991        135637        64516         24499         6505          875           
0.800 2            0.999998        78.5613         1462        249         321         460         261792007     247905152     995638        0             3435494512    2556012481    58132445      174069429     14887315      9987685       7612755       6093944       5075022       4346745       3796465       3377800       3042705       2763853       2533864       2339747       2172124       2028520       1900453       1790306       1690700       1599140       1514970       1438626       1362715       1282080       1189744       1074772       930992        751164        548997        343766        172984        61309         11316         
0.800 3            1               4.24356         90          11          15          24          541578051     536380549     119766        0             1982364236    1770295200    3807243       393995052     84415504      31134166      12011381      4820325       2023608       897874        425617        223677        141205        127005        165794        258180        410683        615671        854861        1096222       1285674       1383019       1361088       1218968       990022        727974        476727        278855        143131        63230         23491         7118          1656          248           25            
