#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.800 0            0.999992        1001.71         6767        2098        2434        3066        608447902     506458453     7999574       0             84215916484   45481614060   3137123954    154919750     59480574      40462328      30402637      24331959      20276636      17376182      15208963      13518667      12164233      11058032      10136070      9360734       8686449       8107754       7604562       7154432       6758038       6404081       6081029       5795321       5528739       5289644       5071011       4867386       4676202       4500718       4343306       4194554       4053466       3923264       3800742       3686885       3577013       3472346       3377018       3287636       3201060       3120908       3042953       2968606       2899736       2832356       2763957       2703944       2644465       2589586       2537297       2481053       2429540       2384799       2337664       2297136       2254400       2214735       2174543       2131370       2096986       2064336       2025004       1990772       1950486       1853958       1517891       
0.800 1            1               11.8505         1571        21          42          154         2845170930    2795082385    2676159       0             15020350604   11602942356   136098248     1870701693    400271376     197043236     111851064     67508827      42082658      26963516      17566740      11584803      7703486       5165858       3490737       2378989       1652251       1181241       895624        746222        707118        750223        847010        969895        1086744       1171464       1216716       1235062       1245078       1279457       1378872       1564002       1845805       2226781       2681016       3178701       3666129       4106476       4450253       4660220       4702970       4596347       4337532       3957923       3504812       3014481       2533632       2085813       1694798       1368257       1095701       874721        690491        532268        398298        284127        191584        119808        69014         36113         16778         6972          2334          637           155           21            0             
0.800 2            0.999997        403.494         4943        1261        1509        1963        1682457113    1590507746    7655322       0             63177127985   39564213722   2091886997    1246725877    60566895      40117259      30383837      24339141      20283958      17381602      15205482      13512758      12165974      11060261      10133902      9355850       8685732       8109127       7602570       7153605       6753151       6409086       6084921       5795673       5532980       5290318       5071499       4866635       4678741       4507810       4343828       4193294       4056088       3926538       3800911       3683636       3577347       3477271       3379092       3287866       3199756       3118319       3039973       2964051       2895067       2823481       2761371       2700004       2628182       2557131       2479977       2389212       2280450       2144457       1973739       1763499       1516318       1238731       950124        672770        430976        244450        119111        47552         14518         3060          319           
0.800 3            1               4.49124         119         11          15          24          4175922889    4145630375    286941        0             16584788351   14194060059   18235650      3037153162    656020602     252930924     102589689     43285636      19009325      8740386       4223584       2147701       1149760       640672        369076        218020        130525        79084         48479         29705         18753         12449         9381          10171         14598         26092         48126         86542         150700        252270        402952        618221        908559        1274773       1713354       2211169       2722785       3213217       3626151       3919959       4043744       3987206       3755223       3365354       2882242       2347718       1817120       1335280       929858        612520        379942        223083        122166        62707         30094         13332         5664          2066          722           214           63            14            4             1             0             0             0             
