#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         
0.800 0            0.999994        45.8488         583         110         139         199         26183205      24906894      1036345       0             320333512     291783946     21615071      8171922       3737992       2533367       1902719       1520532       1268034       1086220       950700        844235        760776        691576        633734        584735        542752        502445        451466        
0.800 1            0.999999        11.0136         514         27          47          101         49635992      48657996      816430        0             255448100     240312720     11825677      30759539      6619181       3235722       1872229       1241183       959665        845970        806687        788658        738249        639669        497320        338327        191877        82026         19690         
0.800 2            0.999997        25.1164         652         76          103         161         42549358      41437300      934013        0             297648771     275738278     17363620      25656189      3842758       2516029       1911160       1524562       1268640       1085828       946885        836777        744617        658361        565688        453697        317113        169223        51831         
0.800 3            0.999999        4.85325         90          12          17          26          69731673      69035448      616533        0             270123629     258537913     9704574       50424624      10420385      3759053       1411699       582418        320532        291091        362220        450068        496392        468106        364575        228119        109254        36593         6544          
