#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.800 0            0.999989        1276.89         8655        2628        3032        3808        608193366     506190551     43808456      0             105612697553  58594689958   18128925179   154186833     59954251      40492275      30404309      24326045      20274362      17368924      15200473      13521878      12159733      11054678      10138213      9361487       8687741       8109191       7600302       7156077       6758577       6403357       6082998       5791680       5530395       5288951       5067563       4869360       4679594       4504616       4348869       4193028       4053279       3923145       3798926       3685129       3576280       3474563       3376994       3289056       3203431       3116947       3042276       2965561       2895604       2829367       2766075       2702668       2646047       2590091       2531494       2482989       2434091       2384480       2339950       2291975       2255376       2210162       2172541       2136937       2099201       2061802       2026194       1995654       1952462       1859392       1507467       
0.800 1            1               17.995          1763        38          73          204         2894247921    2846358695    40118942      0             20309444287   17238829693   2411148879    1914285795    400029739     198806373     113614541     68880653      43102517      27709749      18090483      11940802      7945273       5322681       3586251       2439023       1678584       1179555       869160        696559        629864        642643        708828        801676        896495        976024        1033233       1075567       1127773       1213259       1365799       1602913       1933033       2349935       2829252       3334348       3819234       4243907       4552180       4712769       4718215       4554115       4251715       3837722       3358263       2849492       2355375       1908501       1523566       1203212       947493        742417        576933        443276        331815        237355        160913        102534        60789         32271         15465         6700          2421          713           153           21            6             
0.800 2            0.999996        540.745         7289        1694        2056        2718        1709501980    1618020485    46427667      0             81977591444   52884297056   13645916755   1271896126    62585844      40473179      30437131      24352852      20284445      17380115      15206989      13512521      12167939      11059003      10136047      9355371       8686562       8110426       7605602       7151735       6754257       6402738       6074735       5794903       5530225       5290064       5069248       4869249       4681107       4509224       4344946       4192284       4054590       3921537       3802231       3686539       3578499       3475338       3380872       3290249       3199904       3117578       3040634       2965219       2894904       2827935       2761542       2691073       2625439       2550080       2466504       2372230       2255053       2107474       1924474       1706559       1450974       1172517       886013        616667        389640        215814        103393        40570         12234         2569          265           
0.800 3            1               8.13767         260         19          25          38          4211059796    4180265671    27627001      0             25452449496   22921786349   2152385557    3113402934    626226844     245509296     100121587     42322265      18646118      8605404       4181509       2136859       1145042       640677        370817        219593        131875        80696         50257         30888         19951         13835         11643         13729         21644         37626         67374         116098        191917        305646        467360        687037        966858        1311851       1704767       2129823       2560961       2958418       3283334       3505518       3603950       3573142       3414994       3147544       2801747       2412932       2010610       1620228       1264793       954408        696249        490159        334190        219097        137598        83187         47822         25548         13330         6179          2599          975           355           85            21            3             0             
