#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         
0.950 0            0.999989        85.6442         668         169         201         267         25728060      24451958      911796        0             703138825     629147775     49992174      7650759       3775984       2534001       1900113       1522831       1268230       1085834       950810        844988        760287        691066        632997        585036        542948        505923        476253        
0.950 1            0.999994        41.1891         724         99          149         244         52280572      51429570      403501        0             1023475579    950990384     32161471      33923492      6168444       3188605       1915440       1299064       1023113       906729        854354        804097        715491        582389        426185        268613        139904        53483         11169         
0.950 2            0.999989        86.6338         755         218         259         337         45538748      44528860      520555        0             1149979254    1050034578    48602061      28360752      4255910       2653157       1954446       1541785       1273327       1084317       940746        823585        721560        621761        513514        388127        251513        121474        32774         
0.950 3            0.999987        101.311         442         209         237         282         71319993      70592580      133664        0             5503875343    5126374844    63954656      54687520      8432227       2957435       1316524       660725        389751        315116        332297        378283        416051        421924        384543        305489        199094        97000         26014         
