#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.950 0            0.999981        2271.4          11459       4146        4742        5862        582415522     495309596     21512330      0             256748892228  147288082871  23714718663   127433293     60465023      40530066      30408331      24334865      20279198      17371139      15206372      13515255      12160353      11059597      10138747      9359796       8687577       8109074       7601010       7151623       6753694       6405610       6081672       5793263       5530621       5292751       5069380       4864413       4675469       4507651       4345262       4199306       4053816       3926337       3802508       3689067       3580032       3478139       3378875       3285891       3202430       3119466       3042076       2968734       2896720       2830371       2761384       2701364       2644954       2590435       2532617       2480227       2432234       2383509       2336801       2294898       2253482       2209840       2173681       2135674       2099329       2060934       2029847       1993910       1962284       1921088       1832157       
0.950 1            1               51.355          1593        112         199         423         3110010233    3073010100    14448927      0             70612368007   60022141582   3763205904    2152981529    374651765     193992773     114605879     71027438      45119567      29379704      19374814      12897066      8640978       5828344       3946946       2689969       1860649       1314822       968165        763703        660280        622364        626615        658063        709303        783571        892980        1045528       1266385       1561476       1932755       2374362       2869143       3373295       3861569       4269944       4564899       4728285       4731846       4566913       4269546       3856281       3373678       2856549       2346227       1869416       1452709       1102706       818287        599144        430960        305644        212791        143640        94540         59582         35644         20319         10381         5193          2178          789           258           64            18            2             0             
0.950 2            0.999985        1866.02         12371       4790        5362        6386        1980626461    1908865299    8237194       0             397142731697  271067110496  11952567156   1535676199    70043803      43897955      31751312      24827492      20465738      17455978      15241198      13526959      12168455      11059675      10136843      9359440       8688710       8110331       7606458       7156422       6756569       6399543       6083467       5798183       5526529       5289090       5068838       4865650       4679880       4505871       4345297       4192307       4052085       3926967       3800832       3686383       3577057       3476495       3378369       3285795       3199805       3117649       3033239       2953733       2880852       2800784       2714628       2623149       2517724       2393645       2243514       2067257       1860685       1623579       1365519       1097122       832745        592927        389133        233148        124982        58966         23575         7632          1941          324           29            
0.950 3            0.999999        138.504         615         255         285         335         4365244938    4333981285    7233354       0             484041328388  407673306759  17624203962   3454089623    496174131     187766804     88198675      44448079      22382281      11319130      5876790       3164877       1776899       1033643       621113        381723        240939        154913        102879        73325         59572         58955         71895         99737         145816        210462        299525        415452        556250        720180        907155        1104349       1313006       1516966       1706591       1881549       2025353       2140401       2228746       2277142       2307402       2308237       2290649       2252933       2203167       2129450       2035598       1918679       1777912       1615567       1438702       1248076       1056698       866203        686023        523405        383716        265824        174204        105789        60059         30405         13896         5319          1701          361           37            
