#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         
0.950 0            0.999989        347.373         2277        686         805         1030        124018591     111361901     1318595       0             10458823648   7588634303    283878558     31156221      15069320      10133425      7602480       6078620       5068596       4344498       3802850       3379027       3044437       2764282       2535720       2338346       2172246       2027728       1900925       1790720       1688870       1602629       1521884       1448215       1381276       1322214       1266836       1217636       1169536       1126810       1086941       1050028       1013004       974149        939122        
0.950 1            0.999999        46.6053         1473        103         181         385         397547700     390992961     453665        0             8077883936    7084152836    64407376      269470876     47352754      24221806      14199399      8746157       5538124       3635511       2470614       1778870       1380606       1184744       1129171       1170082       1290217       1451451       1607557       1710544       1735280       1664928       1500099       1270468       1011146       755230        527464        343450        205582        112083        53200         21770         6823          1508          186           
0.950 2            0.999987        383.618         2784        962         1097        1346        294664495     284532919     939511        0             20415460316   16262828749   375219646     205024950     17110790      10798001      7869665       6181894       5104550       4355593       3808378       3383703       3041855       2765266       2532764       2339414       2172894       2026742       1900073       1784980       1680343       1587557       1494551       1401065       1301395       1188402       1053795       895318        714494        521034        336021        182897        78822         23632         3657          
0.950 3            0.999994        154.198         633         309         342         397         560574205     555154373     251499        0             66587135278   58630807404   353676617     434408094     69270281      24317128      10987737      5434435       2648221       1273809       631521        343056        225810        197633        228845        297935        400150        521817        652590        778965        885072        959483        994753        984968        933095        841294        719903        579590        432607        295949        180938        94911         39659         12071         1885          
