#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.600 0            0.999995        559.861         5489        1263        1496        1957        682419188     580479254     8080625       0             29188883371   15715604753   1060021058    232270538     57670021      40097862      30342321      24328933      20270889      17379269      15208308      13524526      12160811      11062215      10136655      9358087       8687031       8110936       7605534       7154939       6756228       6404216       6079551       5794148       5533856       5288581       5066837       4867447       4675154       4508566       4341437       4192376       4053569       3925581       3800169       3684916       3581852       3475221       3377001       3290295       3200404       3119606       3040790       2966476       2896515       2828165       2764869       2703325       2642261       2591142       2533227       2483556       2435257       2384141       2337404       2294755       2252738       2213626       2171811       2135209       2097609       2056367       2012045       1942710       1802678       1514060       932566        
0.600 1            1               8.74439         2265        9           22          173         2873835315    2820621876    3231034       0             7242164246    5224591462    75547778      1875091953    432711621     205773884     112828001     66208161      40197539      24951793      15768361      10077708      6480373       4193223       2724372       1779783       1174514       786854        542717        397482        327669        324324        383159        493280        634880        777971        895084        954341        961730        925266        885791        877435        944891        1113932       1401877       1802653       2310388       2877016       3467131       4014440       4474966       4786263       4917300       4848128       4591974       4180634       3659591       3083491       2518893       2001326       1570870       1227658       966797        771727        618885        492505        378005        275363        185643        113305        62685         30023         12404         4034          1046          188           14            
0.600 2            0.999999        163.154         3592        560         732         1070        1478239046    1383462239    4403699       0             15448535576   9166626434    257284115     1032158134    67454919      40664079      29945123      24177127      20218732      17355987      15194486      13518715      12161093      11052205      10136033      9356877       8688709       8106393       7603541       7155073       6763742       6405283       6083709       5792133       5528846       5288211       5067971       4862712       4676608       4506712       4343679       4196404       4056125       3926343       3801367       3684566       3579570       3474623       3380745       3287971       3200587       3119706       3040327       2962810       2898719       2826932       2761659       2696268       2640645       2578702       2512026       2440993       2367058       2272397       2163584       2030133       1855615       1650637       1406040       1131406       847150        574234        342947        173325        68908         18947         2745          
0.600 3            1               1.16582         142         3           5           13          4506189311    4474717094    3043          0             6095152263    5071175306    52654         3332515621    764930099     246040035     81217213      27508870      9631902       3518994       1358338       553454        238657        108935        51537         25308         12822         6257          3320          1737          850           442           246           120           110           153           372           946           2497          5825          12893         27108         55137         105365        191301        327377        534200        823249        1206572       1676983       2198983       2738590       3218201       3579091       3754236       3706256       3452191       3018107       2476373       1900646       1361781       907606        559825        319766        166944        80087         34969         13896         4873          1525          418           85            15            2             0             0             0             
