#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         CS-65         CS-66         CS-67         CS-68         CS-69         CS-70         CS-71         CS-72         CS-73         CS-74         CS-75         CS-76         CS-77         CS-78         CS-79         CS-80         CS-81         CS-82         CS-83         CS-84         CS-85         CS-86         CS-87         CS-88         CS-89         CS-90         CS-91         CS-92         CS-93         CS-94         CS-95         CS-96         CS-97         CS-98         CS-99         CS-100        CS-101        CS-102        CS-103        CS-104        CS-105        CS-106        CS-107        CS-108        CS-109        CS-110        CS-111        CS-112        CS-113        CS-114        CS-115        CS-116        CS-117        CS-118        CS-119        CS-120        CS-121        CS-122        CS-123        CS-124        CS-125        CS-126        CS-127        CS-128        
0.600 0            0.999991        4205.63         32444       8646        9990        12598       3300070685    2691939193    256850650     0             773804691824  312686733781  172521848830  1140278642    251062091     162354182     121585520     97305743      81093030      69520018      60836164      54080898      48668434      44228806      40539990      37435077      34760165      32443538      30419602      28616680      27026226      25614032      24326318      23177704      22124655      21164962      20282741      19471248      18715714      18029276      17375117      16782040      16216185      15701914      15203172      14739574      14313241      13903069      13518293      13146322      12810353      12474058      12166062      11862353      11592198      11307182      11058476      10814366      10580312      10350482      10134685      9932818       9734719       9540974       9356116       9183039       9009354       8847004       8687753       8535355       8395506       8241334       8109628       7978957       7850396       7726323       7605807       7486857       7371834       7262350       7151495       7052496       6950259       6854812       6760563       6662763       6574959       6483551       6400880       6315247       6241864       6162040       6085426       6005493       5933183       5867078       5798500       5727285       5661533       5591686       5529840       5473548       5407115       5348592       5291510       5230254       5172158       5122475       5066115       5014727       4964341       4915811       4864713       4818916       4771852       4723304       4682757       4633195       4586073       4547270       4507249       4463605       4422511       4380785       4345266       4304645       4268221       4226844       4195723       4159063       4121033       4086020       4057164       4017098       3978616       3914795       3814170       3601433       3169211       2364510       1160010       
0.600 1            1               18.7973         4236        34          78          269         22816330794   22573597552   216478569     0             87912050243   71872347623   13150472245   15032201648   3447870320    1664430293    923199871     546404447     334367173     209227714     133078317     85502078      55339722      35983990      23508950      15397940      10116081      6662536       4401151       2909202       1927117       1282087       850417        569101        380177        254323        170549        115914        78870         55920         42522         36964         36632         40044         46332         53167         59271         65248         71808         82773         101994        136879        195361        286788        415497        582788        791084        1024143       1275034       1512758       1718338       1870246       1949058       1951381       1878944       1740669       1553513       1344356       1135258       947316        797905        704071        674134        718851        846581        1065382       1385339       1815959       2367450       3040607       3844351       4763288       5802615       6920828       8101160       9293450       10447988      11521423      12454343      13183579      13676388      13906164      13851832      13518303      12928329      12107135      11102455      9969185       8770384       7550913       6371288       5272433       4285981       3429160       2721044       2149796       1718080       1409510       1199993       1075522       1008348       981381        972954        967731        951786        915854        859769        781304        685697        578007        469774        366100        273199        193880        131579        84708         52064         29696         16285         8431          4024          1788          761           260           100           32            6             2             1             0             0             
0.600 2            0.999997        1471.7          23334       4850        6042        8278        9634321238    9065113177    337118183     0             456418139780  228837471918  126834716834  7416327361    343961406     180009241     123828064     97511464      81024465      69470380      60797030      54058294      48647575      44245875      40547447      37429002      34762983      32443823      30410115      28621333      27026404      25599571      24328729      23178538      22116291      21146996      20271790      19456533      18719983      18018879      17376139      16772709      16219744      15703174      15210151      14748674      14314614      13903966      13518349      13151430      12809480      12486102      12164917      11872575      11583267      11309452      11054839      10814238      10580656      10355985      10136502      9934776       9733760       9542143       9357069       9181854       9011057       8847549       8692732       8538188       8391924       8246816       8111979       7980268       7852069       7726627       7605050       7487021       7372754       7261220       7157224       7051783       6953317       6853705       6761155       6668028       6576747       6488563       6402056       6317615       6239262       6154564       6079140       6006461       5931888       5855820       5793667       5727631       5658228       5591081       5530879       5469590       5406761       5347615       5288764       5231809       5178518       5122411       5067339       5010782       4955979       4899403       4840596       4783503       4720039       4642919       4558448       4460475       4339373       4191907       4018116       3800438       3545356       3247371       2911897       2542944       2148291       1750992       1368695       1014275       708744        464691        281846        154860        76529         32964         12220         3590          865           107           11            
0.600 3            1               4.85245         1767        12          17          30          35351568849   35209967047   128040603     0             85640907956   74602936824   8752944037    25933606561   6102335479    2052566816    705537325     249573862     91566664      35154938      14255262      6136983       2806493       1352384       679404        351707        187055        100340        54787         30198         16456         9255          5051          2801          1549          850           474           275           135           70            42            23            11            6             4             2             0             1             0             0             0             1             0             0             1             0             3             8             17            37            67            124           235           424           729           1259          2156          3626          5799          9335          14543         22525         34621         52574         78429         117339        171437        250128        357525        506284        704663        964268        1297244       1714543       2221594       2820585       3521380       4300058       5141282       6017306       6882829       7697785       8414221       8981789       9375442       9542561       9497519       9208237       8716921       8042670       7243622       6369209       5455596       4557959       3717940       2957025       2294990       1740387       1288080       932094        660934        456545        309641        205871        134209        85809         54110         33316         20030         11572         6744          3714          2052          1045          489           258           137           52            25            6             2             0             0             0             0             0             0             0             0             0             0             
