#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         
0.700 0            0.999994        198.569         2228        474         579         789         131983505     116568049     10629095      0             3638150939    2693578188    599310704     39711432      14758420      10103108      7604589       6080679       5070272       4344539       3802140       3379646       3043166       2761944       2535038       2337594       2170082       2028518       1898530       1788362       1688754       1600053       1520172       1448524       1381720       1323483       1268229       1217605       1170561       1126836       1085677       1047136       1005901       940933        739862        
0.700 1            0.999999        12.9644         1340        27          57          180         370254475     361059082     8149510       0             1530562079    1365136867    137789458     237269926     52745582      25347516      14103889      8360482       5132963       3247558       2128341       1471979       1110449       929883        860504        867345        941076        1082828       1275713       1482757       1659973       1759088       1753206       1632182       1421638       1159773       888107        640459        435445        272632        155573        76948         30635         8698          1327          
0.700 2            0.999997        86.2003         1843        286         386         583         255502201     241489418     10817773      0             2789728329    2207107646    421469446     167397899     15166934      9922585       7558480       6082752       5068174       4345243       3802763       3379701       3040580       2764838       2535889       2336705       2173057       2028338       1900234       1788912       1688263       1600686       1517642       1438393       1361737       1284834       1195793       1090527       955397        791324        595105        388342        206987        78401         15686         
0.700 3            1               3.57066         220         9           14          25          555791275     550146625     5301279       0             1445891409    1353882359    81298817      407593134     89660794      30617007      10804289      3952562       1515636       613596        264801        124805        66889         49562         61517         106427        192842        331806        523229        757394        997247        1198570       1314366       1305298       1176769       952880        694050        450584        257603        127812        54542         19145         5092          940           87            
