#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         
0.700 0            0.999996        137.522         1646        338         415         572         132378081     116959076     1172487       0             2730616991    1891558473    56627827      40277165      14609390      10088085      7602491       6084686       5066497       4339166       3802244       3381931       3044903       2765267       2533616       2336772       2173244       2024111       1899028       1789254       1690446       1603518       1520508       1449359       1383148       1322995       1267156       1215532       1169748       1125830       1086925       1046836       1005687       934405        738138        
0.700 1            1               8.34283         1157        14          34          144         365933130     356526076     339844        0             1202995549    972541440     5240489       232936840     52804966      25280374      14010037      8286789       5080758       3218328       2118129       1480951       1136421       964890        896677        895402        956089        1079855       1257420       1455787       1631476       1740608       1746069       1637256       1441808       1192161       928473        679147        468217        300063        173910        87502         35124         10089         1514          
0.700 2            0.999998        51.9133         1476        175         240         369         250431017     236276909     669429        0             1920100878    1404288767    19824054      162496506     14859028      9860077       7554403       6075211       5071720       4343500       3801871       3377418       3042601       2768683       2531445       2340543       2173765       2024783       1898758       1785319       1689041       1601034       1518631       1441437       1369158       1292226       1208478       1112118       984425        823323        628898        421161        227799        89081         18576         
0.700 3            1               1.86849         105         5           8           16          558078550     552576158     24594         0             1073111880    943433396     361780        408045878     91510436      30841430      10796137      3913128       1484690       596783        256330        119003        63798         47444         58793         103125        190394        333118        533255        776384        1031431       1241288       1349925       1326591       1168373       918166        638208        390450        205052        91716         34286         10187         2348          377           26            
