#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         
0.700 0            0.999996        29.7013         603         79          105         159         26861216      25585608      73464         0             195819242     171498001     1020953       8952798       3685277       2526008       1900261       1521458       1267280       1087027       949885        845235        759932        690662        634312        584946        542235        497988        415912        
0.700 1            0.999999        6.17547         509         15          29          76          49397472      48371213      40024         0             147372729     132945563     361130        30322223      6913507       3293839       1856563       1194137       897573        783755        759055        758113        736855        660728        526759        365531        212700        92640         23494         
0.700 2            0.999998        14.1975         536         46          68          119         41731122      40598828      42199         0             166078329     148022872     471935        24938220      3713839       2474789       1897968       1522574       1267621       1085913       947148        838261        749495        662675        574344        469619        338275        189521        60860         
0.700 3            1               1.8366          85          5           8           15          71363021      70627894      12472         0             133241283     123599014     107035        51676494      11408822      3734309       1260418       455647        213429        190384        269890        386234        478558        484906        394802        250221        117281        36125         5501          
