#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          
0.700 0            0.999996        7.69503         262         21          30          49          5274153       5274153       0             0             17809804      17809804      0             2041549       931387        632844        474802        379979        316539        271256        225797        
0.700 1            0.999998        4.37894         188         12          20          40          7065933       7065933       0             0             17846579      17846579      0             4115145       992387        577635        443529        371519        296186        191187        78345         
0.700 2            0.999999        4.93833         197         15          23          42          6917540       6917540       0             0             17177771      17177771      0             3939099       943243        631323        471198        366193        281704        195543        89237         
0.700 3            0.999999        1.68597         79          5           8           17          10156575      10156575      0             0             15584939      15584939      0             7627150       1481184       423214        191830        166119        147753        90945         28380         
