#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         
0.700 0            0.999996        37.2369         602         97          126         189         26804650      25528994      1074292       0             223778544     205794317     14012758      8885238       3692654       2526772       1899916       1521000       1269098       1085132       950608        845612        758587        691090        634268        584566        542721        499026        418362        
0.700 1            0.999999        8.038           562         20          37          90          49646109      48624326      911806        0             166907141     158256532     7223906       30634748      6886695       3286553       1850614       1185651       893442        779735        757377        761877        740624        660207        524618        361576        208443        91277         22672         
0.700 2            0.999998        18.6697         563         60          87          147         42012756      40887952      1000279       0             192827901     180389989     10425701      25212129      3738502       2481859       1899629       1524881       1267025       1083827       948025        839279        747364        660274        570450        464530        331299        184707        58976         
0.700 3            1               2.58307         112         7           11          20          71367284      70629954      691082        0             153074816     147705088     4757598       51758642      11329629      3731446       1264838       458748        217022        189922        264897        378550        466807        479698        397892        257632        124477        40404         6680          
