#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          
0.950 0            0.999988        22.1801         208         46          56          78          5143834       5143834       0             0             52489544      52489544      0             1877139       948676        632995        475607        379735        317601        270473        241608        
0.950 1            0.999986        26.518          311         60          79          115         7240915       7240915       0             0             104520234     104520234     0             4356950       919656        592454        464885        377821        285868        177005        66276         
0.950 2            0.999986        25.7047         275         62          77          107         7093062       7093062       0             0             83560908      83560908      0             4064249       1019743       658645        476228        352225        267739        177773        76460         
0.950 3            0.99997         61.3221         445         150         191         244         9962915       9962915       0             0             410010302     410010302     0             7701709       1133372       380757        225629        178600        158992        123792        60064         
