#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         
0.950 0            0.999986        441.798         2935        844         978         1235        124019280     108606704     7606615       0             13047893707   9241967976    1742968982    31137887      15090302      10134118      7606489       6083108       5066069       4343276       3802696       3378581       3045252       2762247       2531104       2338239       2171826       2027669       1900828       1788103       1689542       1600222       1523096       1447634       1381589       1322876       1267180       1216224       1169339       1126356       1087030       1047850       1015237       977238        940073        
0.950 1            0.999998        49.7396         1529        109         194         415         398097380     390414299     3632180       0             8491275362    7424725055    458562097     269840432     47336135      24283631      14262859      8801932       5573695       3657270       2486135       1787977       1384087       1185251       1128659       1175445       1296334       1457741       1609180       1710511       1731084       1654641       1486152       1255617       997676        742826        518075        337075        201899        110685        53518         21966         7128          1582          182           
0.950 2            0.999987        397.997         2983        1011        1159        1433        295576626     282714401     4050899       0             21100095981   16280490853   1377978641    205788020     17276904      10818588      7875610       6180868       5105311       4360659       3809804       3381079       3042168       2768479       2535782       2337125       2171283       2024550       1899051       1783978       1681448       1585074       1494780       1397999       1299528       1183919       1048734       889595        706624        513948        331590        179934        77298         23225         3671          
0.950 3            0.999996        140.486         616         279         313         367         561346768     555648759     1074960       0             60896123776   53511345726   1359805060    439184675     65965036      23669565      10812733      5301553       2568107       1247430       634353        358983        249448        231296        269328        348185        456038        577383        697569        806454        891193        943982        964976        950475        903158        825600        717943        595530        460570        326570        207377        112643        49757         16106         2752          
