#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.900 2            0.999992        1016.74         9034        2892        3354        4178        1896991400    1807476938    25448475      0             197331989264  127975377437  17095604623   1453681471    65625423      42350554      31292192      24764415      20544396      17567977      15369943      13649584      12285382      11177580      10241604      9451048       8779036       8190095       7683289       7225394       6830781       6470014       6142294       5849122       5582917       5340941       5120181       4915489       4725134       4554615       4391380       4239996       4093766       3964573       3840251       3723493       3615436       3511140       3416216       3317293       3231114       3145890       3069725       2997028       2918804       2845235       2769251       2690378       2602178       2504002       2389177       2244858       2072440       1863082       1619436       1356148       1077209       803319        555615        352106        199219        99558         42118         14620         3757          668           50            
0.900 3            1               33.6676         258         67          80          102         4313393105    4282982250    17379860      0             110965199024  96623215305   7885082972    3312417288    534313200     223586186     101643627     46987686      22177062      10854697      5554512       2972750       1660408       965612        579595        355767        224344        143109        92751         62677         46196         40101         45451         62203         94553         148868        229239        343026        493997        688019        927472        1202259       1511661       1840566       2162710       2467001       2721533       2917955       3039763       3081803       3043096       2939592       2773285       2567689       2331763       2078919       1823454       1564751       1314623       1084691       869649        682102        518113        382277        273530        188840        125168        78518         47145         26431         13584         6387          2549          979           271           47            5             
0.800 0            0.99999         1281.25         9034        2636        3042        3820        614352811     511335383     44319382      0             107052230594  59406583929   18404254443   155715302     60557614      40916230      30716667      24589774      20478931      17555477      15355577      13655765      12288459      11165882      10243454      9449551       8771476       8192389       7679166       7223715       6822675       6471837       6145839       5855171       5581605       5341068       5116906       4914307       4723181       4555194       4391238       4242354       4096102       3962012       3842638       3725150       3613705       3513792       3414518       3318922       3231113       3149949       3070530       2997254       2926244       2856592       2792202       2733169       2670602       2613813       2559787       2507935       2456575       2408191       2361517       2319290       2276854       2235805       2194944       2155405       2119055       2082542       2045750       2011510       1970110       1879551       1522879       
0.800 1            1               18.0982         1581        39          74          205         2923944887    2875602527    40442047      0             20610358902   17495456025   2440570493    1934033954    404028750     200817535     114778650     69586771      43576343      27998067      18283473      12072969      8032960       5382403       3628799       2466711       1692516       1192187       877460        703494        635007        649639        714174        806452        902056        982962        1041086       1085455       1136852       1224932       1381042       1621551       1953596       2373338       2863889       3369762       3862464       4287318       4602343       4761642       4763964       4602534       4295362       3876434       3384549       2873119       2378159       1925667       1535871       1213227       954075        748137        582045        445884        333080        238278        162423        103425        60963         32957         15918         6833          2428          738           187           27            1             
0.800 2            0.999996        542.818         7153        1701        2064        2730        1727155414    1634777218    46902100      0             83123411996   53632773710   13835587013   1285089764    63247394      40889157      30743318      24593636      20494528      17556029      15364307      13659517      12286299      11175366      10239781      9449439       8774619       8193324       7684671       7223710       6827256       6463711       6142174       5853354       5584557       5341922       5119329       4914212       4724372       4547736       4385429       4237708       4096304       3962383       3842519       3722436       3617811       3510079       3414423       3320085       3233693       3153069       3070810       2995334       2924413       2855534       2786878       2720799       2649999       2574627       2494050       2395525       2277322       2127980       1946003       1720900       1464584       1180545       892975        625087        392215        219055        105273        40813         12511         2500          261           
0.800 3            1               8.25662         289         19          25          38          4253307250    4222145474    27927354      0             26037660607   23451882387   2193659468    3146073740    631491864     247685586     101025824     42701272      18812558      8685411       4220680       2157075       1157279       645702        374704        221152        133516        81906         50457         31347         20157         13756         11928         13887         22020         38614         68285         117764        195125        309615        475020        695118        978903        1324367       1719501       2149510       2580220       2982453       3306452       3530036       3631418       3601119       3438546       3177494       2829131       2443688       2036501       1647366       1288127       978384        715245        506861        346766        228503        144935        86981         50442         27430         14119         6870          2883          1144          383           80            24            5             1             
0.700 0            0.999992        1013.44         8062        2192        2564        3286        643375906     540358366     53330389      0             66525214831   37516277672   13681655583   185585978     60245019      40840632      30704517      24579561      20481864      17560101      15360178      13648722      12290620      11170647      10241126      9454175       8780170       8195450       7682162       7226269       6824791       6464741       6142953       5847202       5589693       5338129       5120151       4921150       4725240       4547965       4390721       4237881       4097387       3962984       3838554       3721850       3615061       3508404       3411113       3320602       3233894       3152673       3073462       2998292       2924918       2858715       2790717       2728936       2670201       2616364       2562434       2510116       2460348       2410070       2362901       2316642       2277076       2233942       2194605       2154546       2118535       2084158       2044072       2006516       1934320       1751105       1232585       
0.700 1            1               15.3977         2003        32          66          207         2895550523    2844749896    45245451      0             13762577782   11730168308   1700919687    1891369019    421532845     205465736     115237807     68814373      42464220      26881065      17302482      11246055      7374200       4857636       3220237       2144768       1441055       986296        697364        528416        452758        452949        515230        613416        728585        830907        906824        948241        970299        996812        1060644       1198302       1430762       1767202       2208016       2727522       3276705       3824438       4305150       4671215       4888175       4917210       4777691       4460731       4016312       3490944       2938312       2398704       1914808       1506100       1179334       920708        722574        569349        442821        334473        242373        164901        103915        59619         30591         13777         5454          1629          397           63            7             
0.700 2            0.999997        392.421         6613        1296        1637        2276        1610431475    1516312895    60293608      0             45656846404   29553285978   9682008623    1164241635    65572575      40842800      30551547      24522729      20474788      17555203      15355767      13647297      12284444      11172032      10244644      9452220       8782384       8191917       7678012       7231055       6824547       6464832       6146207       5849295       5587917       5342472       5120392       4914822       4724365       4551684       4388773       4236366       4094546       3961720       3840274       3723483       3616089       3510896       3416032       3322903       3231237       3149330       3073774       2994936       2923762       2857148       2786762       2727134       2658836       2594017       2521077       2443052       2350148       2236760       2094562       1915098       1698826       1440878       1159575       867909        593527        362819        192467        83362         28410         6614          791           
0.700 3            1               4.85478         438         12          17          30          4320384369    4287579048    30618311      0             14193887687   12895677172   1123493419    3161988175    701417174     253760859     95117640      36906053      14900628      6304120       2810096       1321968       655445        339570        182139        99870         56566         31994         18289         10586         6014          3697          2417          2034          2835          4899          9850          19807         38352         71059         125326        213189        345517        537419        799223        1136735       1542682       2010001       2492054       2961813       3359449       3646701       3777271       3739054       3539571       3201722       2763220       2285075       1797631       1349766       969558        663636        434349        269620        160102        90145         48265         24147         11413         4783          1839          678           219           46            13            1             0             
