#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.900 2            0.999993        919.001         7653        2600        2988        3676        1866753418    1777922944    5639651       0             178709193033  114801915066  4291613911    1429344195    63529297      41701854      30936603      24502205      20333798      17398894      15211307      13516767      12166065      11059372      10139919      9351154       8684640       8111381       7608823       7153747       6760022       6403387       6085191       5794696       5531878       5289649       5071582       4861649       4679176       4504169       4347582       4196801       4056090       3926583       3800487       3685302       3581648       3476245       3379408       3284384       3200392       3115374       3039260       2962432       2887935       2815348       2743679       2670078       2582854       2487287       2373893       2237660       2068942       1869723       1632168       1370092       1094541       821108        572631        364005        208544        104205        44654         15615         4182          799           67            
0.900 3            1               35.8725         231         72          84          105         4230472304    4201033360    2262768       0             115294719480  99470344249   1172953588    3189809450    561495065     230512010     105684745     49203959      23109773      11131305      5563738       2896642       1567573       883361        515945        310141        190207        119221        76270         49853         34699         27202         27596         36201         56100         91395         148275        233590        355907        522182        739575        1008720       1323924       1682795       2055156       2429627       2772101       3060202       3269674       3373796       3373400       3268718       3068083       2795218       2468373       2117696       1763868       1426025       1119099       850859        625525        443827        303952        199001        124743        73793         41695         21953         10763         4777          1952          700           237           60            11            1             0             
0.800 0            0.999992        1002.1          7073        2100        2434        3068        608472009     506484367     8003197       0             84249154779   45498710433   3140216004    154933460     59484161      40472360      30406827      24330265      20272554      17379962      15213227      13513503      12167540      11053662      10138993      9355788       8686510       8109238       7599840       7153409       6756655       6399223       6085500       5789254       5530531       5292202       5067932       4868398       4680170       4505357       4345472       4192595       4056815       3926032       3803084       3685059       3576592       3472195       3380111       3285810       3204144       3119556       3041166       2966530       2897405       2827026       2764793       2702841       2641716       2587728       2535618       2485155       2434571       2387707       2337762       2292110       2252737       2213775       2169840       2135715       2097878       2062419       2027923       1993805       1949003       1853851       1518949       
0.800 1            1               11.85           1603        21          42          154         2845264869    2795181784    2671115       0             15020030160   11603183562   135859908     1870787803    400274090     197067944     111876569     67490064      42077794      26959781      17566578      11572377      7700629       5164811       3486650       2380379       1652553       1180337       894766        747843        706777        749681        848257        972641        1084760       1169265       1216460       1231877       1242835       1281644       1378593       1562058       1848628       2229675       2684059       3176494       3668529       4110084       4449519       4658275       4705889       4592049       4335950       3961994       3506491       3015395       2534532       2085713       1693076       1366760       1093848       874451        689673        533500        397666        283881        190535        120159        69244         36134         16770         6902          2368          657           121           30            2             
0.800 2            0.999997        403.527         4858        1261        1509        1963        1682456587    1590512679    7654281       0             63182027950   39567944955   2091815495    1246723494    60567319      40115081      30381668      24341875      20285842      17382948      15206276      13518788      12164858      11058032      10135549      9355748       8690772       8110616       7601657       7155188       6756568       6400554       6080930       5795210       5529676       5286635       5066134       4865492       4679772       4508044       4345002       4199143       4055783       3919044       3798413       3688642       3578337       3476411       3376252       3287011       3201583       3119876       3041977       2966626       2896984       2826063       2760203       2696468       2628801       2556065       2483006       2390417       2280909       2144677       1973388       1765282       1515783       1237365       950612        673225        430424        243745        118910        47538         14552         3005          339           
0.800 3            1               4.49152         107         11          15          24          4175867277    4145576395    287370        0             16585176748   14194546595   18274483      3037147845    655965229     252954973     102576166     43278973      19015361      8737374       4219595       2149111       1150297       640326        367678        217314        129908        79441         48304         30037         18813         12549         9563          10107         14863         26003         47716         86431         150544        252131        404584        618566        906600        1275322       1714905       2209880       2723943       3212669       3629407       3918170       4045134       3984735       3752276       3369340       2882283       2347262       1815394       1335544       928917        612073        381968        223106        122816        63110         30375         13624         5517          2117          690           223           54            17            3             1             0             0             0             
0.700 0            0.999994        733.427         5862        1593        1860        2378        638155255     536173776     8416758       0             49167498143   26547323376   1908463327    186008498     58670595      40358134      30395993      24323596      20268086      17374427      15206648      13515747      12159994      11065432      10139277      9360828       8689932       8110288       7608402       7158277       6758961       6405799       6082481       5789976       5531307       5288784       5066475       4866610       4679555       4506082       4347054       4194333       4055746       3926876       3800773       3685299       3579798       3474409       3379754       3289311       3200648       3117514       3041499       2967616       2897853       2828473       2763717       2703876       2645650       2590711       2531725       2482902       2433206       2384022       2339959       2293984       2254258       2209468       2171051       2132829       2096798       2060843       2024409       1980134       1909660       1731476       1237437       
0.700 1            1               9.76084         2003        13          29          164         2821194510    2768874241    3345535       0             10011427507   7436345702    110015917     1831855806    417707621     201737992     112395341     66810729      41118341      25989774      16722395      10887613      7149616       4719315       3138369       2103857       1425111       986820        710275        557359        500613        519764        607873        734780        876659        997370        1078254       1110162       1103608       1087846       1104775       1184373       1362044       1648608       2040435       2522816       3063407       3605531       4100416       4499246       4748865       4836521       4744379       4483331       4087571       3595238       3068039       2545761       2065806       1656642       1320807       1055230       847646        678549        533670        406788        294945        200396        125766        72259         36323         16293         6217          1980          487           77            10            
0.700 2            0.999998        236.417         4169        779         973         1340        1548208655    1454294601    6492530       0             29028786975   17671384191   782506610     1108495082    62598788      39954468      30143020      24271374      20256564      17371054      15199615      13506724      12164113      11056555      10139008      9355557       8690432       8109054       7606416       7158078       6756512       6406000       6084490       5798181       5530852       5286672       5069053       4866111       4681200       4505900       4345987       4195137       4054023       3927105       3801658       3682826       3580448       3472533       3379140       3289420       3200487       3119797       3041981       2970143       2893183       2827367       2764270       2700349       2635161       2571935       2509054       2435665       2354249       2255328       2128852       1972541       1773741       1533948       1260159       968788        682009        429992        235812        106867        37538         9191          1098          
0.700 3            1               1.8961          126         5           8           16          4309813992    4277963453    15057         0             8699766782    7277776387    428347        3140346224    718230088     253922884     93603304      35697054      14136282      5859087       2561443       1184392       579194        294526        156072        85056         46963         26646         15008         8424          4793          2691          1717          1278          1576          2754          5931          12742         25719         50806         94483         170503        287260        465738        718396        1057622       1479547       1970701       2501425       3027611       3481672       3808614       3952178       3898556       3640748       3222333       2693315       2125658       1581807       1105913       723967        443101        252570        133891        65379         29601         12182         4464          1523          453           98            23            4             2             0             0             0             
